Company|^|Reference ID Company|^|Verification Status|^|Verification Number|^|Verification Date|^|Accounting Date for Operational Transaction|^|Cost Center|^|Supplier|^|Trans Detail|^|Line Description|^|Spend Category|^|Purchase Order|^|Trans Status|^|Line Split|^|Line Amount|^|Supplier Contract
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012097"|^|"2025-02-21-08:00"|^|"2025-05-01-07:00"|^|"1563 Craft Operations"|^|""|^|"02/02/2025 YWW*WEWORK 110CORCOR 299.00 USD"|^|""|^|"Office Rent"|^|""|^|"Approved"|^|"0"|^|"299"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012432"|^|"2025-04-02-07:00"|^|"2025-05-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"03/28/2025 EANGUS 6,000.00 USD"|^|"Enlisted Association of the National Guard of the US"|^|"Corporate Memberships, Subscriptions & Dues"|^|""|^|"Approved"|^|"0"|^|"6000"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012432"|^|"2025-04-02-07:00"|^|"2025-05-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"03/27/2025 AFCEA INTL 6,400.00 USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"6400"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012516"|^|"2025-04-14-07:00"|^|"2025-05-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/09/2025 FEDEX35617011 594.07 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"594.07"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012517"|^|"2025-04-14-07:00"|^|"2025-05-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/09/2025 NH M GARAGE 48.00 USD"|^|""|^|"Parking & Tolls"|^|""|^|"Approved"|^|"0"|^|"48"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012517"|^|"2025-04-14-07:00"|^|"2025-05-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/09/2025 HYATT PLACE NATIONAL 2,031.76 USD"|^|""|^|"Lodging (Hotel, Motel, Etc)"|^|""|^|"Approved"|^|"0"|^|"2031.76"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012531"|^|"2025-04-14-07:00"|^|"2025-05-01-07:00"|^|"1113 Legal"|^|""|^|"04/10/2025 IN *PANTHER SECURITY 2,500.00 USD"|^|"Panther Security and Investigations"|^|"Legal Services"|^|""|^|"Approved"|^|"0"|^|"2500"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012588"|^|"2025-04-21-07:00"|^|"2025-05-01-07:00"|^|"1760 Craft (WGUC)"|^|"Staples Inc"|^|"04/16/2025 STAPLES INC 81.93 USD"|^|""|^|"Printing / Copies"|^|""|^|"Approved"|^|"0"|^|"81.93"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012588"|^|"2025-04-21-07:00"|^|"2025-05-01-07:00"|^|"1760 Craft (WGUC)"|^|""|^|"04/16/2025 4IMPRINT, INC 213.19 USD"|^|""|^|"Promotional Items"|^|""|^|"Approved"|^|"0"|^|"213.19"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012588"|^|"2025-04-21-07:00"|^|"2025-05-01-07:00"|^|"1760 Craft (WGUC)"|^|"Staples Inc"|^|"04/12/2025 STAPLES INC 131.68 USD"|^|""|^|"Printing / Copies"|^|""|^|"Approved"|^|"0"|^|"131.68"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012588"|^|"2025-04-21-07:00"|^|"2025-05-01-07:00"|^|"1760 Craft (WGUC)"|^|"Staples Inc"|^|"04/12/2025 STAPLES INC 131.68 USD"|^|""|^|"Printing / Copies"|^|""|^|"Approved"|^|"0"|^|"131.68"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012588"|^|"2025-04-21-07:00"|^|"2025-05-01-07:00"|^|"1760 Craft (WGUC)"|^|""|^|"04/14/2025 AUSTIN TEXAS PRINT 90.71 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"90.71"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012591"|^|"2025-04-22-07:00"|^|"2025-05-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/14/2025 VISTA CONVENTION SER 820.97 USD"|^|""|^|"Meeting Equipment & Supplies"|^|""|^|"Approved"|^|"0"|^|"820.97"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012591"|^|"2025-04-22-07:00"|^|"2025-05-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/15/2025 AFCEA INTL 6,400.00 USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"6400"|^|""
"WGU Labs"|^|"WGULABS"|^|"Approved"|^|"PC-10012603"|^|"2025-04-22-07:00"|^|"2025-05-01-07:00"|^|"1516 WGU Labs - Accelerator"|^|""|^|"04/17/2025 XAI LLC 30.00 USD"|^|"Twitter (Grok) account for Matt Kitt"|^|"Software"|^|""|^|"Approved"|^|"0"|^|"30"|^|""
"WGU Labs"|^|"WGULABS"|^|"Approved"|^|"PC-10012604"|^|"2025-04-22-07:00"|^|"2025-05-01-07:00"|^|"1516 WGU Labs - Accelerator"|^|""|^|"03/17/2025 XAI LLC 30.00 USD"|^|"Twitter (Grok) account for Matt Kitt"|^|"Software"|^|""|^|"Approved"|^|"0"|^|"30"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012611"|^|"2025-04-23-07:00"|^|"2025-05-01-07:00"|^|"1402 Academic Engagement"|^|""|^|"04/17/2025 WAL-MART #5449 44.79 USD"|^|"Mailing Envelopes for AcE Department Awards"|^|"Office Supplies"|^|""|^|"Approved"|^|"0"|^|"44.79"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012611"|^|"2025-04-23-07:00"|^|"2025-05-01-07:00"|^|"1402 Academic Engagement"|^|""|^|"04/11/2025 AMAZON MKTPL*M280N2T 213.99 USD"|^|"AV Needs Q3 ARB remote access"|^|"Meeting Equipment & Supplies"|^|""|^|"Approved"|^|"0"|^|"213.99"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012611"|^|"2025-04-23-07:00"|^|"2025-05-01-07:00"|^|"1402 Academic Engagement"|^|""|^|"04/13/2025 CRAIGOS PIZZA & PAST 19.87 USD"|^|"Bereavement Support-Lorna Harrison"|^|"Miscellaneous Expenses"|^|""|^|"Approved"|^|"0"|^|"19.87"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012611"|^|"2025-04-23-07:00"|^|"2025-05-01-07:00"|^|"1402 Academic Engagement"|^|""|^|"04/14/2025 AMAZON.COM*OM7E34JI3 182.94 USD"|^|"Q3 QBR supporting remote access attendee"|^|"Meeting Equipment & Supplies"|^|""|^|"Approved"|^|"0"|^|"182.94"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012611"|^|"2025-04-23-07:00"|^|"2025-05-01-07:00"|^|"1402 Academic Engagement"|^|"Missouri Department of Higher Education - Proprietary"|^|"04/17/2025 MO DEPT OF HIGHER ED 6,732.25 USD"|^|"Proprietary School Certification-Recertification Fee + Transaction Fee"|^|"Program / Course Development Services"|^|""|^|"Approved"|^|"0"|^|"6732.25"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012611"|^|"2025-04-23-07:00"|^|"2025-05-01-07:00"|^|"1402 Academic Engagement"|^|""|^|"04/13/2025 DD *DOORDASH PANERAB 37.40 USD"|^|"L. Harrison Day 3 - Bereavement Support Family Meal"|^|"Miscellaneous Expenses"|^|""|^|"Approved"|^|"0"|^|"37.4"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012611"|^|"2025-04-23-07:00"|^|"2025-05-01-07:00"|^|"1402 Academic Engagement"|^|""|^|"04/16/2025 BUC-EE'S #18 31.60 USD"|^|"National Rental Car - vehicle refuel"|^|"Rental Car Fees & Fuel"|^|""|^|"Approved"|^|"0"|^|"31.6"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012611"|^|"2025-04-23-07:00"|^|"2025-05-01-07:00"|^|"1402 Academic Engagement"|^|""|^|"04/19/2025 USPS PO 4887110479 93.70 USD"|^|"USPS AcE Department Team Certificates"|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"93.7"|^|""
