Supplier ID|^|Default Payment Terms|^|Address_Country|^|Address_State|^|Address_City|^|Address_Postal|^|Contract Number|^|Contract_Status|^|Reference ID|^|Payment_Date|^|Quantity|^|Unit of Measure|^|Purchase Order Line|^|Purchase Order Type|^|Company|^|Reference ID Company|^|Spend Type|^|CC HRCY|^|Cost Center|^|Supplier|^|PO No.|^|PO_Created_Date|^|Inv Status|^|Approver|^|Approval Date|^|Acctg Date|^|Inv No.|^|Supplier Inv No.|^|Inv Date|^|Line Description|^|Line Memo|^|Spend Category|^|Inv Line Amt|^|Tax|^|Freight|^|Other Charges|^|Line Split|^|Split CC HRCY|^|Split CC|^|Split Amt|^|Split Tax|^|Split Freight|^|Split Other Charges|^|Worktags|^|Total Inv Amt|^|Pmt Status
"SU-1003231"|^|""|^|"United States of America"|^|"VT"|^|"Jeffersonville"|^|"05464"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-416277"|^|"2025-03-20-07:00"|^|"1"|^|""|^|""|^|""|^|"Western Governors University"|^|"WGU"|^|"Unmanaged"|^|"Academics"|^|"1404 Field Experience"|^|"Christine E. Sealey"|^|""|^|""|^|"Approved"|^|""|^|"2025-03-14T13:51:23.407-07:00"|^|"2025-03-01-08:00"|^|"SI-1123017"|^|"CSINV-00026878"|^|"2024-08-30-07:00"|^|"Clinical Supervisor for Benjamin Drew"|^|""|^|"Demo Teaching Fees & Expenses"|^|"500"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"500"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-446382"|^|"2025-03-05-08:00"|^|"0"|^|""|^|"PO-100033510 - Line 2"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Regions & Strategic Partnerships"|^|"1330 Regional Operations - Northeast"|^|"IC Security Printers Inc., MFG"|^|"PO-100033510"|^|"2024-11-12T14:07:36.971-08:00"|^|"Approved"|^|""|^|"2025-03-05T08:07:39.502-08:00"|^|"2025-03-01-08:00"|^|"SI-1130584"|^|"1003416"|^|"2024-11-30-08:00"|^|"Estimated Shipping"|^|""|^|"Postage & Shipping"|^|"15"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1711.07"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-446383"|^|"2025-03-05-08:00"|^|"0"|^|""|^|"PO-100033510 - Line 4"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Regions & Strategic Partnerships"|^|"1317 Regional Operations - Central"|^|"IC Security Printers Inc., MFG"|^|"PO-100033510"|^|"2024-11-12T14:07:36.971-08:00"|^|"Approved"|^|""|^|"2025-03-05T08:07:39.502-08:00"|^|"2025-03-01-08:00"|^|"SI-1130584"|^|"1003416"|^|"2024-11-30-08:00"|^|"Estimated Shipping"|^|""|^|"Postage & Shipping"|^|"101.53"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1711.07"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-446384"|^|"2025-03-05-08:00"|^|"0"|^|""|^|"PO-100033510 - Line 6"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Regions & Strategic Partnerships"|^|"1323 Regional Operations - South"|^|"IC Security Printers Inc., MFG"|^|"PO-100033510"|^|"2024-11-12T14:07:36.971-08:00"|^|"Approved"|^|""|^|"2025-03-05T08:07:39.502-08:00"|^|"2025-03-01-08:00"|^|"SI-1130584"|^|"1003416"|^|"2024-11-30-08:00"|^|"Estimated Shipping"|^|""|^|"Postage & Shipping"|^|"85"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1711.07"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-446385"|^|"2025-03-05-08:00"|^|"0"|^|""|^|"PO-100033510 - Line 8"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Procurement"|^|"1109 Procurement"|^|"IC Security Printers Inc., MFG"|^|"PO-100033510"|^|"2024-11-12T14:07:36.971-08:00"|^|"Approved"|^|""|^|"2025-03-05T08:07:39.502-08:00"|^|"2025-03-01-08:00"|^|"SI-1130584"|^|"1003416"|^|"2024-11-30-08:00"|^|"Estimated Shipping"|^|""|^|"Postage & Shipping"|^|"15"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1711.07"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-446386"|^|"2025-03-05-08:00"|^|"100"|^|"Each"|^|"PO-100033510 - Line 10"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Procurement"|^|"1109 Procurement"|^|"IC Security Printers Inc., MFG"|^|"PO-100033510"|^|"2024-11-12T14:07:36.971-08:00"|^|"Approved"|^|""|^|"2025-03-05T08:07:39.502-08:00"|^|"2025-03-01-08:00"|^|"SI-1130584"|^|"1003416"|^|"2024-11-30-08:00"|^|"Gold with stars"|^|""|^|"Employee Relations and Recognition"|^|"93.7"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1711.07"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-446387"|^|"2025-03-05-08:00"|^|"30"|^|"Each"|^|"PO-100033510 - Line 11"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"All Cost Centers"|^|"1111 Financial Aid"|^|"IC Security Printers Inc., MFG"|^|"PO-100033510"|^|"2024-11-12T14:07:36.971-08:00"|^|"Approved"|^|""|^|"2025-03-05T08:07:39.502-08:00"|^|"2025-03-01-08:00"|^|"SI-1130584"|^|"1003416"|^|"2024-11-30-08:00"|^|"Merry and Bright"|^|""|^|"Employee Relations and Recognition"|^|"28.11"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1711.07"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-446388"|^|"2025-03-05-08:00"|^|"25"|^|"Each"|^|"PO-100033510 - Line 12"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Regions & Strategic Partnerships"|^|"1330 Regional Operations - Northeast"|^|"IC Security Printers Inc., MFG"|^|"PO-100033510"|^|"2024-11-12T14:07:36.971-08:00"|^|"Approved"|^|""|^|"2025-03-05T08:07:39.502-08:00"|^|"2025-03-01-08:00"|^|"SI-1130584"|^|"1003416"|^|"2024-11-30-08:00"|^|"Gold with stars"|^|""|^|"Employee Relations and Recognition"|^|"23.43"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1711.07"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-446389"|^|"2025-03-05-08:00"|^|"25"|^|"Each"|^|"PO-100033510 - Line 13"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Regions & Strategic Partnerships"|^|"1330 Regional Operations - Northeast"|^|"IC Security Printers Inc., MFG"|^|"PO-100033510"|^|"2024-11-12T14:07:36.971-08:00"|^|"Approved"|^|""|^|"2025-03-05T08:07:39.502-08:00"|^|"2025-03-01-08:00"|^|"SI-1130584"|^|"1003416"|^|"2024-11-30-08:00"|^|"Gold with stars"|^|""|^|"Employee Relations and Recognition"|^|"23.43"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1711.07"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-446390"|^|"2025-03-05-08:00"|^|"80"|^|"Each"|^|"PO-100033510 - Line 14"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Administration"|^|"1105 People Development"|^|"IC Security Printers Inc., MFG"|^|"PO-100033510"|^|"2024-11-12T14:07:36.971-08:00"|^|"Approved"|^|""|^|"2025-03-05T08:07:39.502-08:00"|^|"2025-03-01-08:00"|^|"SI-1130584"|^|"1003416"|^|"2024-11-30-08:00"|^|"Gold with stars"|^|""|^|"Employee Relations and Recognition"|^|"74.96"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1711.07"|^|"Paid"
