Company|^|Reference ID Company|^|Verification Status|^|Verification Number|^|Verification Date|^|Accounting Date for Operational Transaction|^|Cost Center|^|Supplier|^|Trans Detail|^|Line Description|^|Spend Category|^|Purchase Order|^|Trans Status|^|Line Split|^|Line Amount|^|Supplier Contract
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011467"|^|"2024-11-11-08:00"|^|"2025-03-01-08:00"|^|"1607 University Events"|^|""|^|"11/07/2024 ENGRAVING, AWARDS & 1,330.96 USD"|^|""|^|"Employee Relations and Recognition"|^|""|^|"Approved"|^|"0"|^|"1330.96"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011787"|^|"2025-01-06-08:00"|^|"2025-03-01-08:00"|^|"1109 Procurement"|^|""|^|"10/07/2024 GOTOCOM*GOTOMEETING 1,070.35 USD"|^|""|^|"Software"|^|""|^|"Approved"|^|"0"|^|"1070.35"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011847"|^|"2025-01-14-08:00"|^|"2025-03-01-08:00"|^|"1607 University Events"|^|""|^|"12/04/2024 SQ *CRISS COOKIES & 365.00 USD"|^|""|^|"Employee Relations and Recognition"|^|""|^|"Approved"|^|"0"|^|"365"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011847"|^|"2025-01-14-08:00"|^|"2025-03-01-08:00"|^|"1607 University Events"|^|""|^|"11/18/2024 SQ *CHARCUTERIE HOUS 833.12 USD"|^|""|^|"Meeting Food & Beverage"|^|""|^|"Approved"|^|"0"|^|"833.12"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011847"|^|"2025-01-14-08:00"|^|"2025-03-01-08:00"|^|"1607 University Events"|^|""|^|"12/09/2024 JOANN STORES #1756 25.77 USD"|^|""|^|"Meeting Equipment & Supplies"|^|""|^|"Approved"|^|"0"|^|"25.77"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011847"|^|"2025-01-14-08:00"|^|"2025-03-01-08:00"|^|"1607 University Events"|^|""|^|"11/21/2024 ENGRAVING, AWARDS & 89.00 USD"|^|""|^|"Employee Relations and Recognition"|^|""|^|"Approved"|^|"0"|^|"89"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011847"|^|"2025-01-14-08:00"|^|"2025-03-01-08:00"|^|"1607 University Events"|^|""|^|"11/22/2024 SQ *ALLIANCE TRANSPO 10,290.00 USD"|^|""|^|"Other External Service Providers"|^|""|^|"Approved"|^|"0"|^|"10290"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011933"|^|"2025-01-30-08:00"|^|"2025-03-01-08:00"|^|"1323 Regional Operations - South"|^|""|^|"01/25/2025 CUBESMART 5968 349.00 USD"|^|"Austin Office Storage (January)"|^|"Office Rent"|^|""|^|"Approved"|^|"0"|^|"349"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|""|^|"01/20/2025 SQ *BEVGAS LLC 12.92 USD"|^|""|^|"Office Supplies"|^|""|^|"Approved"|^|"0"|^|"12.92"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|"FedEx Freight and Express"|^|"02/01/2025 FEDEX33420476 1,188.17 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"1188.17"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|""|^|"01/31/2025 TANNER FRAMES LLC 37.22 USD"|^|""|^|"Office Supplies"|^|""|^|"Approved"|^|"0"|^|"37.22"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|"FedEx Freight and Express"|^|"01/18/2025 FEDEX32920875 1,100.85 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"1100.85"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|"UPS Ground Freight Inc"|^|"01/31/2025 UPS*BILLING CENTER 36.74 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"36.74"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|"IDVille"|^|"01/17/2025 IDVILLE 561.75 USD"|^|""|^|"Security Equipment (cameras, readers, cards, etc)"|^|""|^|"Approved"|^|"0"|^|"561.75"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|""|^|"01/21/2025 WORLDWIDE EXPRESS 300.16 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"300.16"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|"UPS Ground Freight Inc"|^|"01/21/2025 UPS*BILLING CENTER 36.76 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"36.76"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|"UPS Ground Freight Inc"|^|"02/03/2025 UPS*BILLING CENTER 36.00 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"36"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|"IdentiSys Incorporated"|^|"01/22/2025 IDENTISYS INCORPORAT 1,102.72 USD"|^|""|^|"Security Equipment (cameras, readers, cards, etc)"|^|""|^|"Approved"|^|"0"|^|"1102.72"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|"FedEx Freight and Express"|^|"01/25/2025 FEDEX33186271 1,147.60 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"1147.6"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|""|^|"01/29/2025 FARR BETTER ICE CREA 248.00 USD"|^|""|^|"Office Supplies"|^|""|^|"Approved"|^|"0"|^|"248"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|""|^|"01/22/2025 THE HOME DEPOT #0489 1,393.47 USD"|^|""|^|"Furniture & Fixtures"|^|""|^|"Approved"|^|"0"|^|"1393.47"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012003"|^|"2025-02-07-08:00"|^|"2025-03-01-08:00"|^|"1115 Facilities Management"|^|"Cox Communications, Inc."|^|"01/23/2025 COX PHOENIX COMM SER 100.00 USD"|^|""|^|"Utilities (Electric, Gas, Etc)"|^|""|^|"Approved"|^|"0"|^|"100"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012040"|^|"2025-02-13-08:00"|^|"2025-03-01-08:00"|^|"1760 Craft (WGUC)"|^|""|^|"02/04/2025 GIFTOGRAM 50.00 USD"|^|""|^|"Promotional Items"|^|""|^|"Approved"|^|"0"|^|"50"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012040"|^|"2025-02-13-08:00"|^|"2025-03-01-08:00"|^|"1760 Craft (WGUC)"|^|""|^|"02/04/2025 GIFTOGRAM 50.00 USD"|^|""|^|"Promotional Items"|^|""|^|"Approved"|^|"0"|^|"50"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012064"|^|"2025-02-18-08:00"|^|"2025-03-01-08:00"|^|"1760 Craft (WGUC)"|^|""|^|"02/13/2025 GIFTOGRAM 50.00 USD"|^|""|^|"Promotional Items"|^|""|^|"Approved"|^|"0"|^|"50"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012064"|^|"2025-02-18-08:00"|^|"2025-03-01-08:00"|^|"1760 Craft (WGUC)"|^|""|^|"02/13/2025 VISTAPRINT 379.73 USD"|^|""|^|"Promotional Items"|^|""|^|"Approved"|^|"0"|^|"379.73"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012064"|^|"2025-02-18-08:00"|^|"2025-03-01-08:00"|^|"1760 Craft (WGUC)"|^|""|^|"02/13/2025 CORD DBA NCPN 3,000.00 USD"|^|""|^|"Sponsorships"|^|""|^|"Approved"|^|"0"|^|"3000"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012064"|^|"2025-02-18-08:00"|^|"2025-03-01-08:00"|^|"1760 Craft (WGUC)"|^|""|^|"02/12/2025 GIFTOGRAM 50.00 USD"|^|""|^|"Promotional Items"|^|""|^|"Approved"|^|"0"|^|"50"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012064"|^|"2025-02-18-08:00"|^|"2025-03-01-08:00"|^|"1760 Craft (WGUC)"|^|""|^|"02/11/2025 GIFTOGRAM 25.00 USD"|^|""|^|"Promotional Items"|^|""|^|"Approved"|^|"0"|^|"25"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012064"|^|"2025-02-18-08:00"|^|"2025-03-01-08:00"|^|"1760 Craft (WGUC)"|^|""|^|"02/11/2025 GIFTOGRAM 50.00 USD"|^|""|^|"Promotional Items"|^|""|^|"Approved"|^|"0"|^|"50"|^|""
