Supplier ID|^|Default Payment Terms|^|Address_Country|^|Address_State|^|Address_City|^|Address_Postal|^|Contract Number|^|Contract_Status|^|Reference ID|^|Payment_Date|^|Quantity|^|Unit of Measure|^|Purchase Order Line|^|Purchase Order Type|^|Company|^|Reference ID Company|^|Spend Type|^|CC HRCY|^|Cost Center|^|Supplier|^|PO No.|^|PO_Created_Date|^|Inv Status|^|Approver|^|Approval Date|^|Acctg Date|^|Inv No.|^|Supplier Inv No.|^|Inv Date|^|Line Description|^|Line Memo|^|Spend Category|^|Inv Line Amt|^|Tax|^|Freight|^|Other Charges|^|Line Split|^|Split CC HRCY|^|Split CC|^|Split Amt|^|Split Tax|^|Split Freight|^|Split Other Charges|^|Worktags|^|Total Inv Amt|^|Pmt Status
"SU-1015360"|^|"Net 60"|^|"United States of America"|^|"CA"|^|"SAN FRANCISCO"|^|"94107"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-507168"|^|"2025-07-09-07:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"All Cost Centers"|^|"1220 Software"|^|"Fastly"|^|""|^|""|^|"Approved"|^|"Justin Larsen (169883)"|^|"2025-07-02T08:26:33.887-07:00"|^|"2025-06-01-07:00"|^|"SI-1140468"|^|"266907849"|^|"2025-04-01-07:00"|^|"Enterprise Support"|^|""|^|"Software"|^|"6580"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"6580"|^|"Paid"
"SU-1000167"|^|"Net 30"|^|"United States of America"|^|"TX"|^|"Dallas"|^|"75265-0838"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-521188"|^|"2025-06-18-07:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"Administration"|^|"1115 Facilities Management"|^|"Cintas Corporation No. 2"|^|""|^|""|^|"Approved"|^|"Cameron Tidwell (108125)"|^|"2025-06-13T07:55:27.124-07:00"|^|"2025-06-01-07:00"|^|"SI-1143958"|^|"8407469951"|^|"2025-04-30-07:00"|^|"Misc Office Supplies"|^|""|^|"Office Supplies"|^|"771.54"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"771.54"|^|"Paid"
"SU-1000167"|^|"Net 30"|^|"United States of America"|^|"TX"|^|"Dallas"|^|"75265-0838"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-521244"|^|"2025-06-18-07:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"Administration"|^|"1115 Facilities Management"|^|"Cintas Corporation No. 2"|^|""|^|""|^|"Approved"|^|"Cameron Tidwell (108125)"|^|"2025-06-13T07:55:26.274-07:00"|^|"2025-06-01-07:00"|^|"SI-1143975"|^|"8407469952"|^|"2025-04-30-07:00"|^|"Misc Office Supplies"|^|""|^|"Office Supplies"|^|"2436.75"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"2436.75"|^|"Paid"
"SU-1000025"|^|"Immediate"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84107"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-521539"|^|"2025-06-18-07:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"Administration"|^|"1115 Facilities Management"|^|"Action Locksmith"|^|""|^|""|^|"Approved"|^|"Cameron Tidwell (108125)"|^|"2025-06-13T07:46:35.379-07:00"|^|"2025-06-01-07:00"|^|"SI-1143992"|^|"650422"|^|"2025-04-28-07:00"|^|"SERVICE CALL"|^|""|^|"Equipment Repairs & Maintenance"|^|"738.95"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"738.95"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-525609"|^|"2025-06-09-07:00"|^|"22"|^|"Each"|^|"PO-100036255 - Line 9"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"All Cost Centers"|^|"1111 Financial Aid"|^|"IC Security Printers Inc., MFG"|^|"PO-100036255"|^|"2025-04-14T06:13:03.123-07:00"|^|"Approved"|^|""|^|"2025-06-05T12:40:11.601-07:00"|^|"2025-06-01-07:00"|^|"SI-1144752"|^|"39447"|^|"2025-05-08-07:00"|^|"Bella Canvas Unisex Heather Cvc T-Shirt in Navy Heather/Light Grey SIZE 3X"|^|""|^|"Promotional Items"|^|"297"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"11985"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-525620"|^|"2025-06-09-07:00"|^|"6"|^|"Each"|^|"PO-100036255 - Line 10"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"All Cost Centers"|^|"1111 Financial Aid"|^|"IC Security Printers Inc., MFG"|^|"PO-100036255"|^|"2025-04-14T06:13:03.123-07:00"|^|"Approved"|^|""|^|"2025-06-05T12:40:11.601-07:00"|^|"2025-06-01-07:00"|^|"SI-1144752"|^|"39447"|^|"2025-05-08-07:00"|^|"Bella Canvas Unisex Heather Cvc T-Shirt in Navy Heather/Light Grey SIZE 4X"|^|""|^|"Promotional Items"|^|"81"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"11985"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-525621"|^|"2025-06-09-07:00"|^|"3"|^|"Each"|^|"PO-100036255 - Line 11"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"All Cost Centers"|^|"1111 Financial Aid"|^|"IC Security Printers Inc., MFG"|^|"PO-100036255"|^|"2025-04-14T06:13:03.123-07:00"|^|"Approved"|^|""|^|"2025-06-05T12:40:11.601-07:00"|^|"2025-06-01-07:00"|^|"SI-1144752"|^|"39447"|^|"2025-05-08-07:00"|^|"Bella Canvas Unisex Heather Cvc T-Shirt in Navy Heather/Light Grey SIZE 5X"|^|""|^|"Promotional Items"|^|"40.5"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"11985"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-525622"|^|"2025-06-09-07:00"|^|"255"|^|"Each"|^|"PO-100036255 - Line 1"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"All Cost Centers"|^|"1111 Financial Aid"|^|"IC Security Printers Inc., MFG"|^|"PO-100036255"|^|"2025-04-14T06:13:03.123-07:00"|^|"Approved"|^|""|^|"2025-06-05T12:40:11.601-07:00"|^|"2025-06-01-07:00"|^|"SI-1144752"|^|"39447"|^|"2025-05-08-07:00"|^|"40 Oz. Alaskan Stainless Steel Travel Mug"|^|""|^|"Promotional Items"|^|"5100"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"11985"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-525623"|^|"2025-06-09-07:00"|^|"255"|^|"Each"|^|"PO-100036255 - Line 2"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"All Cost Centers"|^|"1111 Financial Aid"|^|"IC Security Printers Inc., MFG"|^|"PO-100036255"|^|"2025-04-14T06:13:03.123-07:00"|^|"Approved"|^|""|^|"2025-06-05T12:40:11.601-07:00"|^|"2025-06-01-07:00"|^|"SI-1144752"|^|"39447"|^|"2025-05-08-07:00"|^|"Richardson Low Pro Trucker Hat"|^|""|^|"Promotional Items"|^|"3442.5"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"11985"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-525624"|^|"2025-06-09-07:00"|^|"1"|^|"Each"|^|"PO-100036255 - Line 3"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"All Cost Centers"|^|"1111 Financial Aid"|^|"IC Security Printers Inc., MFG"|^|"PO-100036255"|^|"2025-04-14T06:13:03.123-07:00"|^|"Approved"|^|""|^|"2025-06-05T12:40:11.601-07:00"|^|"2025-06-01-07:00"|^|"SI-1144752"|^|"39447"|^|"2025-05-08-07:00"|^|"Bella Canvas Unisex Heather Cvc T-Shirt in Navy Heather/Light Grey SIZE XS"|^|""|^|"Promotional Items"|^|"13.5"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"11985"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-525625"|^|"2025-06-09-07:00"|^|"16"|^|"Each"|^|"PO-100036255 - Line 4"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"All Cost Centers"|^|"1111 Financial Aid"|^|"IC Security Printers Inc., MFG"|^|"PO-100036255"|^|"2025-04-14T06:13:03.123-07:00"|^|"Approved"|^|""|^|"2025-06-05T12:40:11.601-07:00"|^|"2025-06-01-07:00"|^|"SI-1144752"|^|"39447"|^|"2025-05-08-07:00"|^|"Bella Canvas Unisex Heather Cvc T-Shirt in Navy Heather/Light Grey SIZE SMALL"|^|""|^|"Promotional Items"|^|"216"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"11985"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-525626"|^|"2025-06-09-07:00"|^|"46"|^|"Each"|^|"PO-100036255 - Line 5"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"All Cost Centers"|^|"1111 Financial Aid"|^|"IC Security Printers Inc., MFG"|^|"PO-100036255"|^|"2025-04-14T06:13:03.123-07:00"|^|"Approved"|^|""|^|"2025-06-05T12:40:11.601-07:00"|^|"2025-06-01-07:00"|^|"SI-1144752"|^|"39447"|^|"2025-05-08-07:00"|^|"Bella Canvas Unisex Heather Cvc T-Shirt in Navy Heather/Light Grey SIZE MEDIUM"|^|""|^|"Promotional Items"|^|"621"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"11985"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-525627"|^|"2025-06-09-07:00"|^|"70"|^|"Each"|^|"PO-100036255 - Line 6"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"All Cost Centers"|^|"1111 Financial Aid"|^|"IC Security Printers Inc., MFG"|^|"PO-100036255"|^|"2025-04-14T06:13:03.123-07:00"|^|"Approved"|^|""|^|"2025-06-05T12:40:11.601-07:00"|^|"2025-06-01-07:00"|^|"SI-1144752"|^|"39447"|^|"2025-05-08-07:00"|^|"Bella Canvas Unisex Heather Cvc T-Shirt in Navy Heather/Light Grey SIZE LARGE"|^|""|^|"Promotional Items"|^|"945"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"11985"|^|"Paid"
