Supplier ID|^|Default Payment Terms|^|Address_Country|^|Address_State|^|Address_City|^|Address_Postal|^|Contract Number|^|Contract_Status|^|Reference ID|^|Payment_Date|^|Quantity|^|Unit of Measure|^|Purchase Order Line|^|Purchase Order Type|^|Company|^|Reference ID Company|^|Spend Type|^|CC HRCY|^|Cost Center|^|Supplier|^|PO No.|^|PO_Created_Date|^|Inv Status|^|Approver|^|Approval Date|^|Acctg Date|^|Inv No.|^|Supplier Inv No.|^|Inv Date|^|Line Description|^|Line Memo|^|Spend Category|^|Inv Line Amt|^|Tax|^|Freight|^|Other Charges|^|Line Split|^|Split CC HRCY|^|Split CC|^|Split Amt|^|Split Tax|^|Split Freight|^|Split Other Charges|^|Worktags|^|Total Inv Amt|^|Pmt Status
"SU-1001092"|^|"Net 30"|^|"United States of America"|^|"WA"|^|"Seattle"|^|"98124-8423"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-486125"|^|""|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"All Cost Centers"|^|"1219 Infrastructure Operations"|^|"Amazon Web Services, Inc"|^|""|^|""|^|"Approved"|^|"John Morton (105705)"|^|"2025-05-01T14:12:07.295-07:00"|^|"2025-04-01-07:00"|^|"SI-1136312"|^|"2057193809"|^|"2025-02-10-08:00"|^|"anuary 1 - January 31 , 2025"|^|""|^|"Data Center - Cloud Computing"|^|"-3143.17"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"-3143.17"|^|"Unpaid"
"SU-1000779"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Murray"|^|"84107"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-491865"|^|"2025-05-01-07:00"|^|"3"|^|""|^|""|^|""|^|"Western Governors University"|^|"WGU"|^|"Unmanaged"|^|"Academics"|^|"1471 College Heads - Leavitt School of Health"|^|"Apple Nine Hospitality Management, Inc."|^|""|^|""|^|"Approved"|^|"Shawn Wood (437777)"|^|"2025-05-01T08:27:26.460-07:00"|^|"2025-04-01-07:00"|^|"SI-1137578"|^|"569K900003769-B"|^|"2025-02-20-08:00"|^|"Ann Greiman"|^|""|^|"Lodging (Hotel, Motel, Etc)"|^|"490.41"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"2080.83"|^|"Paid"
"SU-1000779"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Murray"|^|"84107"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-491866"|^|"2025-05-01-07:00"|^|"3"|^|""|^|""|^|""|^|"Western Governors University"|^|"WGU"|^|"Unmanaged"|^|"Academics"|^|"1471 College Heads - Leavitt School of Health"|^|"Apple Nine Hospitality Management, Inc."|^|""|^|""|^|"Approved"|^|"Shawn Wood (437777)"|^|"2025-05-01T08:27:26.460-07:00"|^|"2025-04-01-07:00"|^|"SI-1137578"|^|"569K900003769-B"|^|"2025-02-20-08:00"|^|"Kelly-cortez, Kimberly/Mrs 1426"|^|""|^|"Lodging (Hotel, Motel, Etc)"|^|"507.45"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"2080.83"|^|"Paid"
"SU-1000779"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Murray"|^|"84107"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-491867"|^|"2025-05-01-07:00"|^|"3"|^|""|^|""|^|""|^|"Western Governors University"|^|"WGU"|^|"Unmanaged"|^|"Academics"|^|"1471 College Heads - Leavitt School of Health"|^|"Apple Nine Hospitality Management, Inc."|^|""|^|""|^|"Approved"|^|"Shawn Wood (437777)"|^|"2025-05-01T08:27:26.460-07:00"|^|"2025-04-01-07:00"|^|"SI-1137578"|^|"569K900003769-B"|^|"2025-02-20-08:00"|^|"Corbett Brown"|^|""|^|"Lodging (Hotel, Motel, Etc)"|^|"609.6"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"2080.83"|^|"Paid"
"SU-1000779"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Murray"|^|"84107"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-491868"|^|"2025-05-01-07:00"|^|"3"|^|""|^|""|^|""|^|"Western Governors University"|^|"WGU"|^|"Unmanaged"|^|"Academics"|^|"1471 College Heads - Leavitt School of Health"|^|"Apple Nine Hospitality Management, Inc."|^|""|^|""|^|"Approved"|^|"Shawn Wood (437777)"|^|"2025-05-01T08:27:26.460-07:00"|^|"2025-04-01-07:00"|^|"SI-1137578"|^|"569K900003769-B"|^|"2025-02-20-08:00"|^|"Mclaren, Melissa 1426"|^|""|^|"Lodging (Hotel, Motel, Etc)"|^|"473.37"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"2080.83"|^|"Paid"
"SU-1000779"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Murray"|^|"84107"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-491881"|^|"2025-05-01-07:00"|^|"2"|^|""|^|""|^|""|^|"Western Governors University"|^|"WGU"|^|"Unmanaged"|^|"Academics"|^|"1471 College Heads - Leavitt School of Health"|^|"Apple Nine Hospitality Management, Inc."|^|""|^|""|^|"Approved"|^|"Shawn Wood (437777)"|^|"2025-05-01T08:26:38.614-07:00"|^|"2025-04-01-07:00"|^|"SI-1137589"|^|"569K900003768-A"|^|"2025-02-20-08:00"|^|"Stephanie Lapuma"|^|""|^|"Lodging (Hotel, Motel, Etc)"|^|"349.64"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"349.64"|^|"Paid"
"SU-1000779"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Murray"|^|"84107"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-491891"|^|"2025-05-01-07:00"|^|"6"|^|""|^|""|^|""|^|"Western Governors University"|^|"WGU"|^|"Unmanaged"|^|"Academics"|^|"1471 College Heads - Leavitt School of Health"|^|"Apple Nine Hospitality Management, Inc."|^|""|^|""|^|"Approved"|^|"Shawn Wood (437777)"|^|"2025-05-01T08:25:42.266-07:00"|^|"2025-04-01-07:00"|^|"SI-1137597"|^|"569K900003771"|^|"2025-02-20-08:00"|^|"James Simmons"|^|""|^|"Lodging (Hotel, Motel, Etc)"|^|"969.47"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"969.47"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-492795"|^|"2025-04-24-07:00"|^|"1"|^|"Each"|^|"PO-100035343 - Line 3"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"College Marketing"|^|"1306 College Marketing - School of Education"|^|"IC Security Printers Inc., MFG"|^|"PO-100035343"|^|"2025-02-20T15:26:27.335-08:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-04-22T14:54:27.529-07:00"|^|"2025-04-01-07:00"|^|"SI-1137799"|^|"1005688"|^|"2025-02-26-08:00"|^|"BACKDROP 120" X 96 inches"|^|""|^|"Promotional Items"|^|"661.5"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1454.68"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-492796"|^|"2025-04-24-07:00"|^|"1"|^|"Each"|^|"PO-100035343 - Line 2"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"College Marketing"|^|"1306 College Marketing - School of Education"|^|"IC Security Printers Inc., MFG"|^|"PO-100035343"|^|"2025-02-20T15:26:27.335-08:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-04-22T14:54:27.529-07:00"|^|"2025-04-01-07:00"|^|"SI-1137799"|^|"1005688"|^|"2025-02-26-08:00"|^|"TABLE THROW 8' LOOSE"|^|""|^|"Promotional Items"|^|"282"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1454.68"|^|"Paid"
"SU-1000425"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84125-0175"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-492797"|^|"2025-04-24-07:00"|^|"2"|^|"Each"|^|"PO-100035343 - Line 1"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"College Marketing"|^|"1306 College Marketing - School of Education"|^|"IC Security Printers Inc., MFG"|^|"PO-100035343"|^|"2025-02-20T15:26:27.335-08:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-04-22T14:54:27.529-07:00"|^|"2025-04-01-07:00"|^|"SI-1137799"|^|"1005688"|^|"2025-02-26-08:00"|^|"TENSION BANNERS 34" X UP TO 80" 2 VERSIONS 1 QTY OF EACH"|^|""|^|"Promotional Items"|^|"390"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1454.68"|^|"Paid"
