Company|^|Reference ID Company|^|Verification Status|^|Verification Number|^|Verification Date|^|Accounting Date for Operational Transaction|^|Cost Center|^|Supplier|^|Trans Detail|^|Line Description|^|Spend Category|^|Purchase Order|^|Trans Status|^|Line Split|^|Line Amount|^|Supplier Contract
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012131"|^|"2025-02-26-08:00"|^|"2025-04-01-07:00"|^|"1334 Region and Audience Marketing"|^|""|^|"02/22/2025 VIDIQ 294.00 USD"|^|"Renewal of VID IQ"|^|"Software"|^|""|^|"Approved"|^|"0"|^|"294"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012260"|^|"2025-03-13-07:00"|^|"2025-04-01-07:00"|^|"1330 Regional Operations - Northeast"|^|"Regus Management Group LLC"|^|"02/28/2025 REGUS MANAGEMENT GRO 649.30 USD"|^|""|^|"Office Rent"|^|""|^|"Approved"|^|"0"|^|"649.3"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012260"|^|"2025-03-13-07:00"|^|"2025-04-01-07:00"|^|"1330 Regional Operations - Northeast"|^|"Regus Management Group LLC"|^|"03/06/2025 REGUS MANAGEMENT GRO 528.30 USD"|^|""|^|"Office Rent"|^|""|^|"Approved"|^|"0"|^|"528.3"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012260"|^|"2025-03-13-07:00"|^|"2025-04-01-07:00"|^|"1330 Regional Operations - Northeast"|^|""|^|"03/07/2025 WOMENSASSOCIATIONWW 249.00 USD"|^|""|^|"Employee Memberships, Subscriptions & Dues"|^|""|^|"Approved"|^|"0"|^|"249"|^|""
"WGU Labs"|^|"WGULABS"|^|"Approved"|^|"PC-10012306"|^|"2025-03-20-07:00"|^|"2025-04-01-07:00"|^|"1506 WGU Labs - Admin/Sales"|^|""|^|"03/12/2025 VISTAPRINT 657.01 USD"|^|"Vistaprint (pens/swag)"|^|"Office Supplies"|^|""|^|"Approved"|^|"0"|^|"657.01"|^|""
"WGU Labs"|^|"WGULABS"|^|"Approved"|^|"PC-10012306"|^|"2025-03-20-07:00"|^|"2025-04-01-07:00"|^|"1506 WGU Labs - Admin/Sales"|^|""|^|"03/13/2025 WGU DTOCAFE Q 8.00 USD"|^|"New Employee Meal (Badge access not set up yet)"|^|"Food - Business"|^|""|^|"Approved"|^|"0"|^|"8"|^|""
"WGU Labs"|^|"WGULABS"|^|"Approved"|^|"PC-10012306"|^|"2025-03-20-07:00"|^|"2025-04-01-07:00"|^|"1506 WGU Labs - Admin/Sales"|^|""|^|"03/14/2025 1PASSWORD 1.73 USD"|^|"1Password New User Added"|^|"Software"|^|""|^|"Approved"|^|"0"|^|"1.73"|^|""
"WGU Labs"|^|"WGULABS"|^|"Approved"|^|"PC-10012306"|^|"2025-03-20-07:00"|^|"2025-04-01-07:00"|^|"1506 WGU Labs - Admin/Sales"|^|""|^|"03/12/2025 1PASSWORD 2.08 USD"|^|"1Password New User Added"|^|"Software"|^|""|^|"Approved"|^|"0"|^|"2.08"|^|""
"WGU Labs"|^|"WGULABS"|^|"Approved"|^|"PC-10012306"|^|"2025-03-20-07:00"|^|"2025-04-01-07:00"|^|"1506 WGU Labs - Admin/Sales"|^|"Tango Card Inc"|^|"03/11/2025 TANGO CARD 144.90 USD"|^|"March Birthdays"|^|"Employee Relations and Recognition"|^|""|^|"Approved"|^|"0"|^|"144.9"|^|""
"WGU Labs"|^|"WGULABS"|^|"Approved"|^|"PC-10012306"|^|"2025-03-20-07:00"|^|"2025-04-01-07:00"|^|"1506 WGU Labs - Admin/Sales"|^|"Tango Card Inc"|^|"03/11/2025 TANGO CARD 258.75 USD"|^|"Maternity Leave Gift for Susie Chen"|^|"Employee Relations and Recognition"|^|""|^|"Approved"|^|"0"|^|"258.75"|^|""
"WGU Labs"|^|"WGULABS"|^|"Approved"|^|"PC-10012306"|^|"2025-03-20-07:00"|^|"2025-04-01-07:00"|^|"1516 WGU Labs - Accelerator"|^|""|^|"03/10/2025 WGU DTOCAFE Q 8.00 USD"|^|"New Employee Meal (Badge access not set up yet)"|^|"Food - Business"|^|""|^|"Approved"|^|"0"|^|"8"|^|""
"WGU Labs"|^|"WGULABS"|^|"Approved"|^|"PC-10012306"|^|"2025-03-20-07:00"|^|"2025-04-01-07:00"|^|"1516 WGU Labs - Accelerator"|^|""|^|"03/10/2025 WGU DTOCAFE Q 8.00 USD"|^|"New Employee Meal (Badge access not set up yet)"|^|"Food - Business"|^|""|^|"Approved"|^|"0"|^|"8"|^|""
