Supplier ID|^|Default Payment Terms|^|Address_Country|^|Address_State|^|Address_City|^|Address_Postal|^|Contract Number|^|Contract_Status|^|Reference ID|^|Payment_Date|^|Quantity|^|Unit of Measure|^|Purchase Order Line|^|Purchase Order Type|^|Company|^|Reference ID Company|^|Spend Type|^|CC HRCY|^|Cost Center|^|Supplier|^|PO No.|^|PO_Created_Date|^|Inv Status|^|Approver|^|Approval Date|^|Acctg Date|^|Inv No.|^|Supplier Inv No.|^|Inv Date|^|Line Description|^|Line Memo|^|Spend Category|^|Inv Line Amt|^|Tax|^|Freight|^|Other Charges|^|Line Split|^|Split CC HRCY|^|Split CC|^|Split Amt|^|Split Tax|^|Split Freight|^|Split Other Charges|^|Worktags|^|Total Inv Amt|^|Pmt Status
"SU-1000115"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"South Salt Lake CIty"|^|"84119"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479261"|^|"2025-01-30-08:00"|^|"100"|^|"Each"|^|"PO-100033234 - Line 3"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Marketing"|^|"1307 Referral and Direct Mail Marketing"|^|"BrightPoint Creative LLC"|^|"PO-100033234"|^|"2024-10-28T14:57:20.880-07:00"|^|"Approved"|^|""|^|"2025-01-30T09:23:12.386-08:00"|^|"2025-01-01-08:00"|^|"SI-1135084"|^|"18964"|^|"2024-09-16-07:00"|^|"Foam fingers for referral marketing at Fort Worth commencement
17" Love Foam Hand Mitt;16.875 " X 15.875 " 
Navy Blue 2965u"|^|""|^|"Brand Health"|^|"706"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1815.34"|^|"Paid"
"SU-1000115"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"South Salt Lake CIty"|^|"84119"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479262"|^|"2025-01-30-08:00"|^|"0"|^|""|^|"PO-100033234 - Line 1"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Marketing"|^|"1307 Referral and Direct Mail Marketing"|^|"BrightPoint Creative LLC"|^|"PO-100033234"|^|"2024-10-28T14:57:20.880-07:00"|^|"Approved"|^|""|^|"2025-01-30T09:23:12.386-08:00"|^|"2025-01-01-08:00"|^|"SI-1135084"|^|"18964"|^|"2024-09-16-07:00"|^|"Set up charge"|^|""|^|"Brand Health"|^|"188.34"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1815.34"|^|"Paid"
"SU-1006508"|^|""|^|"United States of America"|^|"OH"|^|"Cincinnati"|^|"45263"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479263"|^|"2025-01-23-08:00"|^|"0"|^|""|^|"PO-100031688 - Line 1"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Region & Audience Marketing"|^|"1334 Region and Audience Marketing"|^|"WFAA-TV, Inc."|^|"PO-100031688"|^|"2024-09-09T11:48:59.452-07:00"|^|"Approved"|^|""|^|"2025-01-23T10:17:51.395-08:00"|^|"2025-01-01-08:00"|^|"SI-1135085"|^|"2963879-4"|^|"2024-12-31-08:00"|^|"December 2024"|^|"Blanket PO for OTT and OTT Retargeting, Southeast Region (Atlanta and Nashville only) with Tegna"|^|"Brand Health"|^|"20450"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"20450"|^|"Paid"
"SU-1000252"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84139-0001"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479270"|^|"2025-01-24-08:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"Administration"|^|"1115 Facilities Management"|^|"Questar Gas Company"|^|""|^|""|^|"Approved"|^|"Cameron Tidwell (108125)"|^|"2025-01-23T12:22:20.209-08:00"|^|"2025-01-22-08:00"|^|"SI-1135088"|^|"6839772495INV01222025"|^|"2025-01-22-08:00"|^|"Acct# 6839772495"|^|""|^|"Utilities (Electric, Gas, Etc)"|^|"671.13"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"671.13"|^|"Paid"
"SU-1001746"|^|"Immediate"|^|"United States of America"|^|"UT"|^|"Orem"|^|"84097"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479276"|^|"2025-01-24-08:00"|^|"0"|^|""|^|"PO-100030258 - Line 1"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Administration"|^|"1118 Diversity & Inclusion"|^|"InterWest Interpreting Inc"|^|"PO-100030258"|^|"2024-07-15T18:27:05.927-07:00"|^|"Approved"|^|""|^|"2025-01-23T09:47:06.720-08:00"|^|"2025-01-22-08:00"|^|"SI-1135090"|^|"142424"|^|"2025-01-22-08:00"|^|"FY25 ASL for Film Club Sessions"|^|""|^|"Other External Service Providers"|^|"120"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"120"|^|"Paid"
"SU-1002156"|^|""|^|"United States of America"|^|"NY"|^|"Albany"|^|"12212-5043"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479281"|^|"2025-02-05-08:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"All Cost Centers"|^|"1220 Enterprise Systems (IT Operations)"|^|"VERIZON COMMUNICATIONS INC."|^|""|^|""|^|"Approved"|^|"Hoa Bui (433577)"|^|"2025-01-29T16:31:54.260-08:00"|^|"2025-01-08-08:00"|^|"SI-1135093"|^|"Z1164584"|^|"2025-01-08-08:00"|^|"Acct# U0217274"|^|""|^|"Internet Service Provider Fees  - Office"|^|"1010.15"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1010.15"|^|"Paid"
"SU-1006508"|^|""|^|"United States of America"|^|"OH"|^|"Cincinnati"|^|"45263"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479309"|^|"2025-01-23-08:00"|^|"0"|^|""|^|"PO-100031689 - Line 1"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Region & Audience Marketing"|^|"1334 Region and Audience Marketing"|^|"WFAA-TV, Inc."|^|"PO-100031689"|^|"2024-09-09T11:49:26.932-07:00"|^|"Approved"|^|""|^|"2025-01-23T10:18:35.229-08:00"|^|"2025-01-01-08:00"|^|"SI-1135095"|^|"2963984-4"|^|"2024-12-31-08:00"|^|"December 2024"|^|"Blanket PO for OTT and OTT Retargeting, South Region (DFW and Houston only) with Tegna"|^|"Brand Health"|^|"15000"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"15000"|^|"Paid"
"SU-1006508"|^|""|^|"United States of America"|^|"OH"|^|"Cincinnati"|^|"45263"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479311"|^|"2025-01-23-08:00"|^|"0"|^|""|^|"PO-100031688 - Line 1"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Region & Audience Marketing"|^|"1334 Region and Audience Marketing"|^|"WFAA-TV, Inc."|^|"PO-100031688"|^|"2024-09-09T11:48:59.452-07:00"|^|"Approved"|^|""|^|"2025-01-23T10:20:56.039-08:00"|^|"2025-01-01-08:00"|^|"SI-1135097"|^|"2964000-4"|^|"2024-12-31-08:00"|^|"December 2024"|^|"Blanket PO for OTT and OTT Retargeting, Southeast Region (Atlanta and Nashville only) with Tegna"|^|"Brand Health"|^|"10000"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"10000"|^|"Paid"
"SU-1000026"|^|"Net 45"|^|"United States of America"|^|"UT"|^|"Salt Lake City"|^|"84115"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479315"|^|"2025-01-24-08:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"Administration"|^|"1102 Strategic People Services"|^|"Adcentives West, Inc."|^|"PO-100034604"|^|""|^|"Approved"|^|""|^|"2025-01-24T12:55:46.110-08:00"|^|"2025-01-23-08:00"|^|"SI-1135072"|^|"99741-1"|^|"2025-01-23-08:00"|^|"Shipping"|^|""|^|"Postage & Shipping"|^|"428.8"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"6453.8"|^|"Paid"
"SU-1001870"|^|""|^|"United States of America"|^|"IL"|^|"Champaign"|^|"61820"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479316"|^|"2025-02-06-08:00"|^|"0"|^|""|^|"PO-100030768 - Line 1"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1420 Program Development - School of Education"|^|"Human Kinetics Inc"|^|"PO-100030768"|^|"2024-08-07T13:37:27.224-07:00"|^|"Approved"|^|"Stephanie Quinn (170070)"|^|"2025-01-27T07:02:21.709-08:00"|^|"2025-01-21-08:00"|^|"SI-1135083"|^|"46884599"|^|"2025-01-21-08:00"|^|"FY25 BLANKET PO FOR LR MONTHLY BILLING"|^|""|^|"Learning Resources"|^|"0"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"7840"|^|"Paid"
"SU-1002218"|^|""|^|"United States of America"|^|"MA"|^|"Boston"|^|"02241-7632"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479317"|^|"2025-01-24-08:00"|^|"0"|^|""|^|"PO-100033104 - Line 1"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Administration"|^|"1115 Facilities Management"|^|"Bon Appetit Management Company"|^|"PO-100033104"|^|"2024-10-23T14:49:47.542-07:00"|^|"Approved"|^|"McKenzie Smartt (436204)"|^|"2025-01-23T10:22:07.169-08:00"|^|"2025-01-01-08:00"|^|"SI-1135082"|^|"X51862250304"|^|"2025-01-01-08:00"|^|"WGU Cafe FY25 Subsidy"|^|""|^|"Other External Service Providers"|^|"107203.85"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"107203.85"|^|"Paid"
"SU-1013954"|^|""|^|"United States of America"|^|"UT"|^|"Bountiful"|^|"84010"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479318"|^|"2025-01-23-08:00"|^|"0"|^|""|^|"PO-100033811 - Line 1"|^|"Blanket PO"|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Regions & Strategic Partnerships"|^|"1312 Strategic Partnerships"|^|"Marilyn Henry"|^|"PO-100033811"|^|"2024-12-02T09:01:56.077-08:00"|^|"Approved"|^|""|^|"2025-01-23T10:20:03.694-08:00"|^|"2025-01-21-08:00"|^|"SI-1135002"|^|"3"|^|"2025-01-21-08:00"|^|"01/01/2025 – 01/31/2025"|^|""|^|"Consulting Services"|^|"9000"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"9000"|^|"Paid"
"SU-1001863"|^|""|^|"United States of America"|^|"OH"|^|"Cincinnati"|^|"45263-7386"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479499"|^|"2025-01-23-08:00"|^|"0"|^|""|^|"PO-100030229 - Line 1"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Region & Audience Marketing"|^|"1334 Region and Audience Marketing"|^|"King Broadcasting Company"|^|"PO-100030229"|^|"2024-07-12T13:48:47.465-07:00"|^|"Approved"|^|""|^|"2025-01-23T10:05:37.741-08:00"|^|"2025-01-01-08:00"|^|"SI-1135103"|^|"2943426-5"|^|"2024-11-30-08:00"|^|"November 2024"|^|"please set up as a blanket PO that will cover multiple invoice submissions each month."|^|"Awareness & Consideration"|^|"24166.5"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"24166.5"|^|"Paid"
"SU-1014346"|^|""|^|"United States of America"|^|"FL"|^|"Stuart"|^|"34997"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-479529"|^|"2025-01-23-08:00"|^|"0"|^|""|^|"PO-100034836 - Line 1"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1420 Program Development - School of Education"|^|"Laura Brackenridge Danahy"|^|"PO-100034836"|^|"2025-01-21T13:07:46.823-08:00"|^|"Approved"|^|""|^|"2025-01-23T10:25:29.161-08:00"|^|"2025-01-17-08:00"|^|"SI-1135028"|^|"TC-CCC-011725-LD"|^|"2025-01-17-08:00"|^|"INV# TC-CCC-011725-LD; PJ01246 SME-TC-D836.1-CCC-01/02/25"|^|""|^|"Independent Contractor"|^|"300"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"300"|^|"Paid"
