Supplier ID|^|Default Payment Terms|^|Address_Country|^|Address_State|^|Address_City|^|Address_Postal|^|Contract Number|^|Contract_Status|^|Reference ID|^|Payment_Date|^|Quantity|^|Unit of Measure|^|Purchase Order Line|^|Purchase Order Type|^|Company|^|Reference ID Company|^|Spend Type|^|CC HRCY|^|Cost Center|^|Supplier|^|PO No.|^|PO_Created_Date|^|Inv Status|^|Approver|^|Approval Date|^|Acctg Date|^|Inv No.|^|Supplier Inv No.|^|Inv Date|^|Line Description|^|Line Memo|^|Spend Category|^|Inv Line Amt|^|Tax|^|Freight|^|Other Charges|^|Line Split|^|Split CC HRCY|^|Split CC|^|Split Amt|^|Split Tax|^|Split Freight|^|Split Other Charges|^|Worktags|^|Total Inv Amt|^|Pmt Status
"SU-1001832"|^|""|^|"United States of America"|^|"NJ"|^|"Pennsauken"|^|"08110"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-437395"|^|"2025-01-30-08:00"|^|"1"|^|"Each"|^|"PO-100033149 - Line 8"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1421 Prelicensure"|^|"Legend Services, Inc."|^|"PO-100033149"|^|"2024-10-24T12:45:16.341-07:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-01-24T08:21:36.121-08:00"|^|"2025-01-01-08:00"|^|"SI-1128351"|^|"139850"|^|"2024-11-07-08:00"|^|"Y-tubing for blood product administration (2C8750)	2C8750	 $12.34"|^|""|^|"Nursing Materials"|^|"12.34"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"559.98"|^|"Paid"
"SU-1001832"|^|""|^|"United States of America"|^|"NJ"|^|"Pennsauken"|^|"08110"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-437456"|^|"2025-01-30-08:00"|^|"35"|^|"Each"|^|"PO-100033149 - Line 9"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1421 Prelicensure"|^|"Legend Services, Inc."|^|"PO-100033149"|^|"2024-10-24T12:45:16.341-07:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-01-24T08:21:36.121-08:00"|^|"2025-01-01-08:00"|^|"SI-1128351"|^|"139850"|^|"2024-11-07-08:00"|^|"IV Start Kit with Chloraprep & Tegaderm	DYND74268	 $1.86"|^|""|^|"Nursing Materials"|^|"65.1"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"559.98"|^|"Paid"
"SU-1001832"|^|""|^|"United States of America"|^|"NJ"|^|"Pennsauken"|^|"08110"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-437457"|^|"2025-01-30-08:00"|^|"20"|^|"Each"|^|"PO-100033149 - Line 10"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1421 Prelicensure"|^|"Legend Services, Inc."|^|"PO-100033149"|^|"2024-10-24T12:45:16.341-07:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-01-24T08:21:36.121-08:00"|^|"2025-01-01-08:00"|^|"SI-1128351"|^|"139850"|^|"2024-11-07-08:00"|^|"D442 - Basic Skills Lab Assessment Kit (Foley & Syringes for IM and SubQ Insulin)	MBHD442	 $9.50"|^|""|^|"Nursing Materials"|^|"190"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"559.98"|^|"Paid"
"SU-1001832"|^|""|^|"United States of America"|^|"NJ"|^|"Pennsauken"|^|"08110"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-437458"|^|"2025-01-30-08:00"|^|"10"|^|"Each"|^|"PO-100033149 - Line 11"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1421 Prelicensure"|^|"Legend Services, Inc."|^|"PO-100033149"|^|"2024-10-24T12:45:16.341-07:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-01-24T08:21:36.121-08:00"|^|"2025-01-01-08:00"|^|"SI-1128351"|^|"139850"|^|"2024-11-07-08:00"|^|"Foley Tray, 14Fr, w/ Benzalkonium Chl. Swabs	DYNDT1093A	 $9.50"|^|""|^|"Nursing Materials"|^|"95"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"559.98"|^|"Paid"
"SU-1001832"|^|""|^|"United States of America"|^|"NJ"|^|"Pennsauken"|^|"08110"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-437459"|^|"2025-01-30-08:00"|^|"5"|^|"Each"|^|"PO-100033149 - Line 1"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1421 Prelicensure"|^|"Legend Services, Inc."|^|"PO-100033149"|^|"2024-10-24T12:45:16.341-07:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-01-24T08:21:36.121-08:00"|^|"2025-01-01-08:00"|^|"SI-1128351"|^|"139850"|^|"2024-11-07-08:00"|^|"Simulated 250ml Saline Solution IV Bag 	212DW	 $2.48"|^|""|^|"Nursing Materials"|^|"12.4"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"559.98"|^|"Paid"
"SU-1001832"|^|""|^|"United States of America"|^|"NJ"|^|"Pennsauken"|^|"08110"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-437460"|^|"2025-01-30-08:00"|^|"1"|^|"Box"|^|"PO-100033149 - Line 2"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1421 Prelicensure"|^|"Legend Services, Inc."|^|"PO-100033149"|^|"2024-10-24T12:45:16.341-07:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-01-24T08:21:36.121-08:00"|^|"2025-01-01-08:00"|^|"SI-1128351"|^|"139850"|^|"2024-11-07-08:00"|^|"Drain Sponge 4"x4" (bx/50)	NON256000H	 $5.60"|^|""|^|"Nursing Materials"|^|"5.6"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"559.98"|^|"Paid"
"SU-1001832"|^|""|^|"United States of America"|^|"NJ"|^|"Pennsauken"|^|"08110"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-437461"|^|"2025-01-30-08:00"|^|"5"|^|"Each"|^|"PO-100033149 - Line 3"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1421 Prelicensure"|^|"Legend Services, Inc."|^|"PO-100033149"|^|"2024-10-24T12:45:16.341-07:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-01-24T08:21:36.121-08:00"|^|"2025-01-01-08:00"|^|"SI-1128351"|^|"139850"|^|"2024-11-07-08:00"|^|"Specimen Container, 4oz	DYND30330H	 $0.74"|^|""|^|"Nursing Materials"|^|"3.7"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"559.98"|^|"Paid"
"SU-1001832"|^|""|^|"United States of America"|^|"NJ"|^|"Pennsauken"|^|"08110"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-437462"|^|"2025-01-30-08:00"|^|"1"|^|"Box"|^|"PO-100033149 - Line 4"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1421 Prelicensure"|^|"Legend Services, Inc."|^|"PO-100033149"|^|"2024-10-24T12:45:16.341-07:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-01-24T08:21:36.121-08:00"|^|"2025-01-01-08:00"|^|"SI-1128351"|^|"139850"|^|"2024-11-07-08:00"|^|"ABD Pads - Sterile, 5"x9" (box/20)	3501	 $3.90"|^|""|^|"Nursing Materials"|^|"3.9"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"559.98"|^|"Paid"
"SU-1001832"|^|""|^|"United States of America"|^|"NJ"|^|"Pennsauken"|^|"08110"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-437463"|^|"2025-01-30-08:00"|^|"5"|^|"Each"|^|"PO-100033149 - Line 5"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1421 Prelicensure"|^|"Legend Services, Inc."|^|"PO-100033149"|^|"2024-10-24T12:45:16.341-07:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-01-24T08:21:36.121-08:00"|^|"2025-01-01-08:00"|^|"SI-1128351"|^|"139850"|^|"2024-11-07-08:00"|^|"Secondary Administration Set, Alaris (V1421)	BMGV142120	 $4.54"|^|""|^|"Nursing Materials"|^|"22.7"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"559.98"|^|"Paid"
"SU-1001832"|^|""|^|"United States of America"|^|"NJ"|^|"Pennsauken"|^|"08110"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-437464"|^|"2025-01-30-08:00"|^|"5"|^|"Each"|^|"PO-100033149 - Line 6"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1421 Prelicensure"|^|"Legend Services, Inc."|^|"PO-100033149"|^|"2024-10-24T12:45:16.341-07:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-01-24T08:21:36.121-08:00"|^|"2025-01-01-08:00"|^|"SI-1128351"|^|"139850"|^|"2024-11-07-08:00"|^|"Primary Admin Set, 20GTT - Carefusion (2420-0500)	495864	 $10.17"|^|""|^|"Nursing Materials"|^|"50.85"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"559.98"|^|"Paid"
