Supplier ID|^|Default Payment Terms|^|Address_Country|^|Address_State|^|Address_City|^|Address_Postal|^|Contract Number|^|Contract_Status|^|Reference ID|^|Payment_Date|^|Quantity|^|Unit of Measure|^|Purchase Order Line|^|Purchase Order Type|^|Company|^|Reference ID Company|^|Spend Type|^|CC HRCY|^|Cost Center|^|Supplier|^|PO No.|^|PO_Created_Date|^|Inv Status|^|Approver|^|Approval Date|^|Acctg Date|^|Inv No.|^|Supplier Inv No.|^|Inv Date|^|Line Description|^|Line Memo|^|Spend Category|^|Inv Line Amt|^|Tax|^|Freight|^|Other Charges|^|Line Split|^|Split CC HRCY|^|Split CC|^|Split Amt|^|Split Tax|^|Split Freight|^|Split Other Charges|^|Worktags|^|Total Inv Amt|^|Pmt Status
"SU-1001095"|^|"Net 30"|^|"United States of America"|^|"IL"|^|"Chicago"|^|"60675-1515"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-380494"|^|"2025-02-19-08:00"|^|"100"|^|"Year"|^|"PO-100028919 - Line 1"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Security"|^|"1204 Enterprise Security"|^|"CDW LLC"|^|"PO-100028919"|^|"2024-05-16T13:13:18.497-07:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-02-18T12:20:13.374-08:00"|^|"2025-02-01-08:00"|^|"SI-1116342"|^|"RN00119"|^|"2024-05-29-07:00"|^|"keyfobs for MFA"|^|""|^|"Security Equipment (cameras, readers, cards, etc)"|^|"3889"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"3889"|^|"Paid"
"SU-1000382"|^|"Net 30"|^|"United States of America"|^|"FL"|^|"Yulee"|^|"32097"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-445997"|^|"2025-02-14-08:00"|^|"0"|^|""|^|"PO-100030879 - Line 1"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|""|^|""|^|"Hands-on Labs, Inc."|^|"PO-100030879"|^|"2024-08-09T14:33:27.346-07:00"|^|"Approved"|^|"Stephanie Quinn (170070)"|^|"2025-02-10T12:01:47.322-08:00"|^|"2025-02-01-08:00"|^|"SI-1130167"|^|"12022024"|^|"2024-12-03-08:00"|^|"FY25 BLANKET PO FOR LR MONTHLY BILLING"|^|""|^|"Learning Resources"|^|"32857.77"|^|"0"|^|"0"|^|"0"|^|"1"|^|"Academics"|^|"1420 Program Development - School of Education"|^|"32857.77"|^|"0"|^|"0"|^|"0"|^|"Location: Salt Lake City Office - Flex/Remote"|^|"32857.77"|^|"Paid"
"SU-1000382"|^|"Net 30"|^|"United States of America"|^|"FL"|^|"Yulee"|^|"32097"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-445997"|^|"2025-02-14-08:00"|^|"0"|^|""|^|"PO-100030879 - Line 1"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|""|^|""|^|"Hands-on Labs, Inc."|^|"PO-100030879"|^|"2024-08-09T14:33:27.346-07:00"|^|"Approved"|^|"Stephanie Quinn (170070)"|^|"2025-02-10T12:01:47.322-08:00"|^|"2025-02-01-08:00"|^|"SI-1130167"|^|"12022024"|^|"2024-12-03-08:00"|^|"FY25 BLANKET PO FOR LR MONTHLY BILLING"|^|""|^|"Learning Resources"|^|"32857.77"|^|"0"|^|"0"|^|"0"|^|"1"|^|"Academics"|^|"1417 Program Development - General Ed"|^|"0"|^|"0"|^|"0"|^|"0"|^|"Cost Center: 1417 Program Development - General Ed"|^|"32857.77"|^|"Paid"
"SU-1000779"|^|"Net 30"|^|"United States of America"|^|"UT"|^|"Murray"|^|"84107"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-465447"|^|"2025-02-27-08:00"|^|"2"|^|""|^|""|^|""|^|"Western Governors University"|^|"WGU"|^|"Unmanaged"|^|"Academics"|^|"1426 Academic Programs - Leavitt School of Health"|^|"Apple Nine Hospitality Management, Inc."|^|""|^|""|^|"Approved"|^|"Anmy Mayfield (149994)"|^|"2025-02-18T20:15:04.978-08:00"|^|"2025-02-01-08:00"|^|"SI-1132323"|^|"569K900003732-A"|^|"2024-12-12-08:00"|^|"Kelly-cortez, Kimberly/Mrs"|^|""|^|"Lodging (Hotel, Motel, Etc)"|^|"338.3"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"338.3"|^|"Paid"
"SU-1007141"|^|""|^|"United States of America"|^|"IL"|^|"Chicago"|^|"60674-0680"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-475478"|^|"2025-02-14-08:00"|^|"0"|^|""|^|"PO-100031179 - Line 1"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1418 Program Development - Leavitt School of Health"|^|"Ascend Learning Holdings LLC"|^|"PO-100031179"|^|"2024-08-23T07:14:00.950-07:00"|^|"Approved"|^|"Stephanie Quinn (170070)"|^|"2025-02-07T09:10:42.777-08:00"|^|"2025-02-01-08:00"|^|"SI-1134225"|^|"INV00000000073397"|^|"2025-01-10-08:00"|^|"FY25 BLANKET PO FOR LR MONTHLY BILLING"|^|""|^|"Learning Resources"|^|"0"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"2816.9"|^|"Paid"
"SU-1000015"|^|"Immediate"|^|"United States of America"|^|"AZ"|^|"Tempe"|^|"85282"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-476332"|^|"2025-01-24-08:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"Administration"|^|"1115 Facilities Management"|^|"ABM Parking Services"|^|""|^|""|^|"Approved"|^|"Cameron Tidwell (108125)"|^|"2025-01-16T12:49:00.718-08:00"|^|"2025-02-01-08:00"|^|"SI-1134647"|^|"19587122"|^|"2025-02-01-08:00"|^|"SCOTT, ANTHONY"|^|""|^|"Office Parking Fees"|^|"5990"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"5990"|^|"Paid"
"SU-1001101"|^|"Net 30"|^|"United States of America"|^|"CT"|^|"Hartford"|^|"06103"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-476680"|^|"2025-01-24-08:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"Administration"|^|"1115 Facilities Management"|^|"LAZ Karp Associates, LLC"|^|""|^|""|^|"Approved"|^|"Cameron Tidwell (108125)"|^|"2025-01-16T12:48:55.324-08:00"|^|"2025-02-01-08:00"|^|"SI-1134651"|^|"INV05039793"|^|"2025-02-01-08:00"|^|"02/01/2025 - 02/28/2025"|^|""|^|"Office Parking Fees"|^|"730"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"730"|^|"Paid"
"SU-1000140"|^|"Immediate"|^|"United States of America"|^|"UT"|^|"Logan"|^|"84321"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-476813"|^|"2025-01-24-08:00"|^|"0"|^|""|^|"PO-100030560 - Line 2"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Administration"|^|"1115 Facilities Management"|^|"Camelot Lakes Holdings, LLC"|^|"PO-100030560"|^|"2024-07-29T09:41:07.809-07:00"|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-01-17T10:31:52.396-08:00"|^|"2025-02-01-08:00"|^|"SI-1134625"|^|"106090"|^|"2025-02-01-08:00"|^|"UT Office CAM Charges for FY25 - Camelot c4130-04 - Feb"|^|""|^|"Common Area Maintenance (CAM)"|^|"3921.22"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"222507.3"|^|"Paid"
"SU-1000140"|^|"Immediate"|^|"United States of America"|^|"UT"|^|"Logan"|^|"84321"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-476814"|^|"2025-01-24-08:00"|^|"0"|^|""|^|"PO-100030560 - Line 1"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Administration"|^|"1115 Facilities Management"|^|"Camelot Lakes Holdings, LLC"|^|"PO-100030560"|^|"2024-07-29T09:41:07.809-07:00"|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-01-17T10:31:52.396-08:00"|^|"2025-02-01-08:00"|^|"SI-1134625"|^|"106090"|^|"2025-02-01-08:00"|^|"UT Office Rent for FY25 - Camelot c4130-04 - Feb 25"|^|""|^|"Lease Liability"|^|"218586.08"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"222507.3"|^|"Paid"
"SU-1000479"|^|"Immediate"|^|"United States of America"|^|"UT"|^|"Logan"|^|"84321"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-476820"|^|"2025-01-24-08:00"|^|"0"|^|""|^|"PO-100030566 - Line 1"|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Managed"|^|"Administration"|^|"1115 Facilities Management"|^|"JDJ Properties, Inc."|^|"PO-100030566"|^|"2024-07-29T11:04:13.591-07:00"|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-01-17T10:32:57.739-08:00"|^|"2025-02-01-08:00"|^|"SI-1134635"|^|"106063"|^|"2025-02-01-08:00"|^|"UT Office Rent for FY25 - JDJ Retail I r1011-07 - FEB"|^|""|^|"Lease Liability"|^|"27066.17"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"32817.88"|^|"Paid"
