Supplier ID|^|Default Payment Terms|^|Address_Country|^|Address_State|^|Address_City|^|Address_Postal|^|Contract Number|^|Contract_Status|^|Reference ID|^|Payment_Date|^|Quantity|^|Unit of Measure|^|Purchase Order Line|^|Purchase Order Type|^|Company|^|Reference ID Company|^|Spend Type|^|CC HRCY|^|Cost Center|^|Supplier|^|PO No.|^|PO_Created_Date|^|Inv Status|^|Approver|^|Approval Date|^|Acctg Date|^|Inv No.|^|Supplier Inv No.|^|Inv Date|^|Line Description|^|Line Memo|^|Spend Category|^|Inv Line Amt|^|Tax|^|Freight|^|Other Charges|^|Line Split|^|Split CC HRCY|^|Split CC|^|Split Amt|^|Split Tax|^|Split Freight|^|Split Other Charges|^|Worktags|^|Total Inv Amt|^|Pmt Status
"SU-1000652"|^|"Net 30"|^|"United States of America"|^|"GA"|^|"Atlanta"|^|"30374-2000"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-496846"|^|"2025-05-08-07:00"|^|"1"|^|""|^|""|^|""|^|"Western Governors University"|^|"WGU"|^|"Unmanaged"|^|"All Cost Centers"|^|"1328 Office of Enrollment Management"|^|"Neustar Info Services, Inc."|^|""|^|""|^|"Approved"|^|"Wes Ellis (101036)"|^|"2025-05-07T09:42:03.896-07:00"|^|"2025-05-01-07:00"|^|"SI-1138701"|^|"TIC-0000209853"|^|"2025-02-28-08:00"|^|"BCD Verizon Surcharge"|^|""|^|"Other External Service Providers"|^|"14305.75"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"14305.75"|^|"Paid"
"SU-1002420"|^|""|^|"United States of America"|^|"NY"|^|"New York"|^|"10087"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-498794"|^|"2025-05-29-07:00"|^|"2"|^|"Each"|^|"PO-100035714 - Line 17"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Marketing"|^|"1333 Marketing Creative"|^|"B&H Foto & Electronics Corp"|^|"PO-100035714"|^|"2025-03-13T12:38:20.955-07:00"|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-05-27T07:44:51.591-07:00"|^|"2025-05-01-07:00"|^|"SI-1139296"|^|"232574083"|^|"2025-03-17-07:00"|^|"MATTHEWS MATTHELLINI GRIP 2" END JAW (SILVER)/REG"|^|""|^|"Audio / Visual Equipment"|^|"109.5"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"19078.57"|^|"Paid"
"SU-1002420"|^|""|^|"United States of America"|^|"NY"|^|"New York"|^|"10087"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-498795"|^|"2025-05-29-07:00"|^|"2"|^|"Each"|^|"PO-100035714 - Line 5"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Marketing"|^|"1333 Marketing Creative"|^|"B&H Foto & Electronics Corp"|^|"PO-100035714"|^|"2025-03-13T12:38:20.955-07:00"|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-05-27T07:44:51.591-07:00"|^|"2025-05-01-07:00"|^|"SI-1139296"|^|"232574083"|^|"2025-03-17-07:00"|^|"CORE NANO-U98X 14.8V f/SELECT SONY CAMCRDRS/REG"|^|""|^|"Audio / Visual Equipment"|^|"396.02"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"19078.57"|^|"Paid"
"SU-1002420"|^|""|^|"United States of America"|^|"NY"|^|"New York"|^|"10087"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-498796"|^|"2025-05-29-07:00"|^|"1"|^|"Each"|^|"PO-100035714 - Line 4"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Marketing"|^|"1333 Marketing Creative"|^|"B&H Foto & Electronics Corp"|^|"PO-100035714"|^|"2025-03-13T12:38:20.955-07:00"|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-05-27T07:44:51.591-07:00"|^|"2025-05-01-07:00"|^|"SI-1139296"|^|"232574083"|^|"2025-03-17-07:00"|^|"SONY FX6 CINEMA CAMERA w/24-105mm LENS/REG"|^|""|^|"Audio / Visual Equipment"|^|"6478.2"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"19078.57"|^|"Paid"
"SU-1002420"|^|""|^|"United States of America"|^|"NY"|^|"New York"|^|"10087"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-498797"|^|"2025-05-29-07:00"|^|"1"|^|"Each"|^|"PO-100035714 - Line 16"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Marketing"|^|"1333 Marketing Creative"|^|"B&H Foto & Electronics Corp"|^|"PO-100035714"|^|"2025-03-13T12:38:20.955-07:00"|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-05-27T07:44:51.591-07:00"|^|"2025-05-01-07:00"|^|"SI-1139296"|^|"232574083"|^|"2025-03-17-07:00"|^|"MANFROTTO 13'PANORAMIC BACKGRND 4m CHROMAKEY GRN/REG"|^|""|^|"Audio / Visual Equipment"|^|"589"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"19078.57"|^|"Paid"
"SU-1002420"|^|""|^|"United States of America"|^|"NY"|^|"New York"|^|"10087"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-498798"|^|"2025-05-29-07:00"|^|"1"|^|"Each"|^|"PO-100035714 - Line 3"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Marketing"|^|"1333 Marketing Creative"|^|"B&H Foto & Electronics Corp"|^|"PO-100035714"|^|"2025-03-13T12:38:20.955-07:00"|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-05-27T07:44:51.591-07:00"|^|"2025-05-01-07:00"|^|"SI-1139296"|^|"232574083"|^|"2025-03-17-07:00"|^|"SONY FX6 DIGITAL CINEMA CAMERA (BODY ONLY)/REG"|^|""|^|"Audio / Visual Equipment"|^|"5398.2"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"19078.57"|^|"Paid"
"SU-1002420"|^|""|^|"United States of America"|^|"NY"|^|"New York"|^|"10087"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-498799"|^|"2025-05-29-07:00"|^|"2"|^|"Each"|^|"PO-100035714 - Line 15"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Marketing"|^|"1333 Marketing Creative"|^|"B&H Foto & Electronics Corp"|^|"PO-100035714"|^|"2025-03-13T12:38:20.955-07:00"|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-05-27T07:44:51.591-07:00"|^|"2025-05-01-07:00"|^|"SI-1139296"|^|"232574083"|^|"2025-03-17-07:00"|^|"IMPACT C STND w/TURT BASE/GRIP HEAD/ARM- BLK/REG"|^|""|^|"Audio / Visual Equipment"|^|"254.92"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"19078.57"|^|"Paid"
"SU-1002420"|^|""|^|"United States of America"|^|"NY"|^|"New York"|^|"10087"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-498800"|^|"2025-05-29-07:00"|^|"2"|^|"Each"|^|"PO-100035714 - Line 14"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Marketing"|^|"1333 Marketing Creative"|^|"B&H Foto & Electronics Corp"|^|"PO-100035714"|^|"2025-03-13T12:38:20.955-07:00"|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-05-27T07:44:51.591-07:00"|^|"2025-05-01-07:00"|^|"SI-1139296"|^|"232574083"|^|"2025-03-17-07:00"|^|"IMPACT 9.5' HD AIR-CUSHIONED LIGHT STAND- BLK/REG"|^|""|^|"Audio / Visual Equipment"|^|"78"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"19078.57"|^|"Paid"
"SU-1002420"|^|""|^|"United States of America"|^|"NY"|^|"New York"|^|"10087"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-498801"|^|"2025-05-29-07:00"|^|"1"|^|"Each"|^|"PO-100035714 - Line 2"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Marketing"|^|"1333 Marketing Creative"|^|"B&H Foto & Electronics Corp"|^|"PO-100035714"|^|"2025-03-13T12:38:20.955-07:00"|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-05-27T07:44:51.591-07:00"|^|"2025-05-01-07:00"|^|"SI-1139296"|^|"232574083"|^|"2025-03-17-07:00"|^|"SKB ROTO-MOLDED 50" TRIPOD CASE w/WHEELS/REG"|^|""|^|"Audio / Visual Equipment"|^|"219.03"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"19078.57"|^|"Paid"
"SU-1002420"|^|""|^|"United States of America"|^|"NY"|^|"New York"|^|"10087"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-498802"|^|"2025-05-29-07:00"|^|"1"|^|"Each"|^|"PO-100035714 - Line 13"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Marketing"|^|"1333 Marketing Creative"|^|"B&H Foto & Electronics Corp"|^|"PO-100035714"|^|"2025-03-13T12:38:20.955-07:00"|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-05-27T07:44:51.591-07:00"|^|"2025-05-01-07:00"|^|"SI-1139296"|^|"232574083"|^|"2025-03-17-07:00"|^|"MANFROTTO 502 HEAD WITH 055 ALU TRIPOD/REG"|^|""|^|"Audio / Visual Equipment"|^|"249"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"19078.57"|^|"Paid"
