Company|^|Reference ID Company|^|Verification Status|^|Verification Number|^|Verification Date|^|Accounting Date for Operational Transaction|^|Cost Center|^|Supplier|^|Trans Detail|^|Line Description|^|Spend Category|^|Purchase Order|^|Trans Status|^|Line Split|^|Line Amount|^|Supplier Contract
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011395"|^|"2024-11-04-08:00"|^|"2025-06-01-07:00"|^|"1426 Academic Programs - Leavitt School of Health"|^|"WGU Procurement Only"|^|"10/14/2024 1STSALES LEADS 400.00 USD"|^|"Leavitt School of Health is exhibiting at OADN (Organization for Associate Degree Nursing). This request is for all conference marketing related expenses including the exhibitor booth space, exhibitor services such as electricity and furniture rental, shipping, SWAG, and other related costs."|^|"Sponsorships"|^|"PO-100032903"|^|"Approved"|^|"0"|^|"400"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012657"|^|"2025-04-28-07:00"|^|"2025-06-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/24/2025 RESTAURANT 604 75.00 USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"75"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012657"|^|"2025-04-28-07:00"|^|"2025-06-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/23/2025 AUSA 5,376.60 USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"5376.6"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012657"|^|"2025-04-28-07:00"|^|"2025-06-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/14/2025 AUSA 5,220.00 USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"5220"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012773"|^|"2025-05-12-07:00"|^|"2025-06-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/30/2025 FEDTRAINING PARTNERS 3,495.00 USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"3495"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012773"|^|"2025-05-12-07:00"|^|"2025-06-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"05/08/2025 HOSPITALITY NETWORK 14.99 USD"|^|""|^|"Internet Service (Business Travel Use Only)"|^|""|^|"Approved"|^|"0"|^|"14.99"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012773"|^|"2025-05-12-07:00"|^|"2025-06-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/29/2025 SQ *OCEANSIDE CHAMBE 2,000.00 USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"2000"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012773"|^|"2025-05-12-07:00"|^|"2025-06-01-07:00"|^|"1312 Strategic Partnerships"|^|"Creative Management Services LLC"|^|"05/07/2025 MC2 3,502.00 USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"3502"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012773"|^|"2025-05-12-07:00"|^|"2025-06-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/27/2025 PAYPAL *SECRETSAUCE 2,595.00 USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"2595"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012773"|^|"2025-05-12-07:00"|^|"2025-06-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/29/2025 THE NATIONAL ASSOCIA 3,200.00 USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"3200"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012773"|^|"2025-05-12-07:00"|^|"2025-06-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/29/2025 THE NATIONAL ASSOCIA 750.00 USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"750"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012773"|^|"2025-05-12-07:00"|^|"2025-06-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"05/07/2025 HOSPITALITY NETWORK 14.99 USD"|^|""|^|"Internet Service (Business Travel Use Only)"|^|""|^|"Approved"|^|"0"|^|"14.99"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012773"|^|"2025-05-12-07:00"|^|"2025-06-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"04/30/2025 FEDTRAINING PARTNERS 1,795.00 USD"|^|""|^|"Sponsorships"|^|""|^|"Approved"|^|"0"|^|"1795"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012794"|^|"2025-05-13-07:00"|^|"2025-06-01-07:00"|^|"1330 Regional Operations - Northeast"|^|""|^|"05/07/2025 SQ *GWUL 15,000.00 USD"|^|""|^|"Sponsorships"|^|""|^|"Approved"|^|"0"|^|"15000"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012794"|^|"2025-05-13-07:00"|^|"2025-06-01-07:00"|^|"1330 Regional Operations - Northeast"|^|""|^|"04/28/2025 ACT-IAC 1,000.00 USD"|^|""|^|"Sponsorships"|^|""|^|"Approved"|^|"0"|^|"1000"|^|""
