Company|^|Reference ID Company|^|Verification Status|^|Verification Number|^|Verification Date|^|Accounting Date for Operational Transaction|^|Cost Center|^|Supplier|^|Trans Detail|^|Line Description|^|Spend Category|^|Purchase Order|^|Trans Status|^|Line Split|^|Line Amount|^|Supplier Contract
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011615"|^|"2024-12-06-08:00"|^|"2025-01-01-08:00"|^|"1330 Regional Operations - Northeast"|^|""|^|"11/30/2024 TEAMUP CALENDAR 300.00 USD"|^|""|^|"College Marketing"|^|""|^|"Approved"|^|"0"|^|"300"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011637"|^|"2024-12-09-08:00"|^|"2025-01-01-08:00"|^|"1115 Facilities Management"|^|"WGU Procurement Only"|^|"12/05/2024 BRITE VISUAL PRODUCT 3,497.85 USD"|^|"Custom Simulation Lab Whiteboards"|^|"Lab Equipment"|^|"PO-100034438"|^|"Approved"|^|"0"|^|"3497.85"|^|""
"Juvo Ventures, LLC"|^|"Juvo"|^|"Approved"|^|"PC-10011649"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1512 Juvo LLC"|^|""|^|"12/01/2024 GOOGLE *GSUITE_JUVOV 46.42 USD"|^|""|^|"Office Supplies"|^|""|^|"Approved"|^|"0"|^|"46.42"|^|""
"Juvo Ventures, LLC"|^|"Juvo"|^|"Approved"|^|"PC-10011649"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1512 Juvo LLC"|^|""|^|"12/05/2024 FEDEX OFFIC240000240 58.00 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"58"|^|""
"Juvo Ventures, LLC"|^|"Juvo"|^|"Approved"|^|"PC-10011649"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1512 Juvo LLC"|^|""|^|"12/05/2024 FEDEX OFFIC240000240 29.00 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"29"|^|""
"Juvo Ventures, LLC"|^|"Juvo"|^|"Approved"|^|"PC-10011649"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1512 Juvo LLC"|^|""|^|"12/05/2024 FEDEX OFFIC240000240 14.50 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"14.5"|^|""
"Juvo Ventures, LLC"|^|"Juvo"|^|"Approved"|^|"PC-10011649"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1512 Juvo LLC"|^|""|^|"12/05/2024 FEDEX OFFIC240000240 2.97 USD"|^|""|^|"Postage & Shipping"|^|""|^|"Approved"|^|"0"|^|"2.97"|^|""
"Juvo Ventures, LLC"|^|"Juvo"|^|"Approved"|^|"PC-10011649"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1512 Juvo LLC"|^|""|^|"12/05/2024 LINKEDIN SN P1800364 1,031.39 USD"|^|""|^|"Employee Memberships, Subscriptions & Dues"|^|""|^|"Approved"|^|"0"|^|"1031.39"|^|""
"Juvo Ventures, LLC"|^|"Juvo"|^|"Approved"|^|"PC-10011649"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1512 Juvo LLC"|^|""|^|"12/05/2024 LINKEDIN SN P2159439 1,031.39 USD"|^|""|^|"Employee Memberships, Subscriptions & Dues"|^|""|^|"Approved"|^|"0"|^|"1031.39"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011651"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1301 Office of the CMO"|^|""|^|"12/05/2024 MACEYS MKT LITTLE CO 49.67 USD"|^|""|^|"Food - Entertainment"|^|""|^|"Approved"|^|"0"|^|"49.67"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011651"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1333 Marketing Creative"|^|""|^|"12/05/2024 AUDIBLE*ZL3S92BH1 16.09 USD"|^|""|^|"Training & Development"|^|""|^|"Approved"|^|"0"|^|"16.09"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011651"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1333 Marketing Creative"|^|""|^|"12/05/2024 AUDIBLE*ZL29D58Q1 16.09 USD"|^|""|^|"Training & Development"|^|""|^|"Approved"|^|"0"|^|"16.09"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011651"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1333 Marketing Creative"|^|""|^|"12/05/2024 VANILLAGIFT.COM 63.90 USD"|^|""|^|"Training & Development"|^|""|^|"Approved"|^|"0"|^|"63.9"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011651"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1333 Marketing Creative"|^|""|^|"12/05/2024 AUDIBLE*ZL3M04QU1 16.09 USD"|^|""|^|"Training & Development"|^|""|^|"Approved"|^|"0"|^|"16.09"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011651"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1333 Marketing Creative"|^|""|^|"12/05/2024 AMAZON RETA* ZR4MR8T 280.00 USD"|^|""|^|"Training & Development"|^|""|^|"Approved"|^|"0"|^|"280"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011651"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1333 Marketing Creative"|^|""|^|"12/05/2024 AUDIBLE*ZR9F97TF2 16.09 USD"|^|""|^|"Training & Development"|^|""|^|"Approved"|^|"0"|^|"16.09"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011651"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1333 Marketing Creative"|^|""|^|"12/05/2024 AUDIBLE*ZR68C9CT0 16.09 USD"|^|""|^|"Training & Development"|^|""|^|"Approved"|^|"0"|^|"16.09"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011651"|^|"2024-12-11-08:00"|^|"2025-01-01-08:00"|^|"1333 Marketing Creative"|^|""|^|"12/05/2024 AUDIBLE*ZR35T8T72 16.09 USD"|^|""|^|"Training & Development"|^|""|^|"Approved"|^|"0"|^|"16.09"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011676"|^|"2024-12-14-08:00"|^|"2025-01-01-08:00"|^|"1220 Enterprise Systems (IT Operations)"|^|"PEOPLECERT INTERNATIONAL LTD"|^|"11/30/2024 PEOPLECERT 12,396.96 USD"|^|"This is professional Development vouchers assigned to 48 staff members under John Morton's org. the WGU discount makes vouchers 258 ea rather than over 400 per voucher. I've attached the list of staff members who received vouchers"|^|"3rd Party Certification Exams"|^|""|^|"Approved"|^|"0"|^|"12396.96"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011697"|^|"2024-12-18-08:00"|^|"2025-01-01-08:00"|^|"1316 Media Strategy"|^|""|^|"12/12/2024 TST*SAWADEE 118.08 USD"|^|""|^|"Food - Business"|^|""|^|"Approved"|^|"0"|^|"118.08"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011714"|^|"2024-12-20-08:00"|^|"2025-01-01-08:00"|^|"1471 College Heads - Leavitt School of Health"|^|""|^|"10/13/2024 WESTIN (WESTIN HOTEL (1,419.99) USD"|^|"Final charges for hotel rooms - Council"|^|"Lodging (Hotel, Motel, Etc)"|^|""|^|"Approved"|^|"0"|^|"-1419.99"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011719"|^|"2024-12-20-08:00"|^|"2025-01-01-08:00"|^|"1488 IPM Transformation PM"|^|""|^|"12/10/2024 GOURMANDISE 192.95 USD"|^|"Food for holiday party"|^|"Employee Relations and Recognition"|^|""|^|"Approved"|^|"0"|^|"192.95"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011724"|^|"2024-12-23-08:00"|^|"2025-01-01-08:00"|^|"1488 IPM Transformation PM"|^|""|^|"12/17/2024 CHEESECAKE 135 ONLIN 82.05 USD"|^|"Cake for Tyler's birthday"|^|"Employee Relations and Recognition"|^|""|^|"Approved"|^|"0"|^|"82.05"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011724"|^|"2024-12-23-08:00"|^|"2025-01-01-08:00"|^|"1488 IPM Transformation PM"|^|""|^|"12/17/2024 WAL-MART #5350 2.08 USD"|^|"Knives for cutting cakes"|^|"Office Supplies"|^|""|^|"Approved"|^|"0"|^|"2.08"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011724"|^|"2024-12-23-08:00"|^|"2025-01-01-08:00"|^|"1488 IPM Transformation PM"|^|""|^|"12/17/2024 LGC*DOORDASH GIFTCAR 175.00 USD"|^|"Gift cards for remote party attendees"|^|"Employee Relations and Recognition"|^|""|^|"Approved"|^|"0"|^|"175"|^|""
