Supplier ID|^|Default Payment Terms|^|Address_Country|^|Address_State|^|Address_City|^|Address_Postal|^|Contract Number|^|Contract_Status|^|Reference ID|^|Payment_Date|^|Quantity|^|Unit of Measure|^|Purchase Order Line|^|Purchase Order Type|^|Company|^|Reference ID Company|^|Spend Type|^|CC HRCY|^|Cost Center|^|Supplier|^|PO No.|^|PO_Created_Date|^|Inv Status|^|Approver|^|Approval Date|^|Acctg Date|^|Inv No.|^|Supplier Inv No.|^|Inv Date|^|Line Description|^|Line Memo|^|Spend Category|^|Inv Line Amt|^|Tax|^|Freight|^|Other Charges|^|Line Split|^|Split CC HRCY|^|Split CC|^|Split Amt|^|Split Tax|^|Split Freight|^|Split Other Charges|^|Worktags|^|Total Inv Amt|^|Pmt Status
"SU-1000645"|^|"Net 30"|^|"United States of America"|^|"CO"|^|"Boulder"|^|"80301-2251"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-374228"|^|"2025-07-03-07:00"|^|"1"|^|""|^|""|^|""|^|"Western Governors University"|^|"WGU"|^|"Unmanaged"|^|"Academics"|^|"1432 Academic Portfolio Admin"|^|"NCHEMS"|^|""|^|""|^|"Approved"|^|"Sarah DeMark (104651)"|^|"2025-07-02T09:38:35.787-07:00"|^|"2025-07-01-07:00"|^|"SI-1114830"|^|"102120"|^|"2024-05-07-07:00"|^|"Assessment Council Meeting"|^|""|^|"Council Honorariums"|^|"1000"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1000"|^|"Paid"
"SU-1009503"|^|""|^|"United States of America"|^|"MO"|^|"Kansas City"|^|"64163"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-491048"|^|"2025-07-29-07:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"Administration"|^|"1115 Facilities Management"|^|"Ambassador Building LLC"|^|""|^|""|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-07-28T10:13:18.313-07:00"|^|"2025-07-01-07:00"|^|"SI-1137427"|^|"INV030525"|^|"2025-02-21-08:00"|^|"CAM & Tax for Jan and Feb 2025"|^|""|^|"Common Area Maintenance (CAM)"|^|"4995.42"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"4995.42"|^|"Paid"
"SU-1009503"|^|""|^|"United States of America"|^|"MO"|^|"Kansas City"|^|"64163"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-491068"|^|"2025-07-29-07:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"Administration"|^|"1115 Facilities Management"|^|"Ambassador Building LLC"|^|""|^|""|^|"Approved"|^|"Chris Geissler (434980)"|^|"2025-07-28T10:13:07.022-07:00"|^|"2025-07-01-07:00"|^|"SI-1137431"|^|"INV030625"|^|"2025-02-25-08:00"|^|"CAM and Tax Expenses for the Month of March 2025"|^|""|^|"Common Area Maintenance (CAM)"|^|"2497.71"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"2497.71"|^|"Paid"
"SU-1015575"|^|"Net 60"|^|"United States of America"|^|"OH"|^|"GAHANNA"|^|"43230"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-498564"|^|"2025-07-09-07:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"Accounting Services"|^|"1110 Student Accounts"|^|"Reliant Capital Solutions, LLC"|^|""|^|""|^|"Approved"|^|"Erika Ramirez (434346)"|^|"2025-07-02T12:14:55.377-07:00"|^|"2025-07-01-07:00"|^|"SI-1139231"|^|"135681"|^|"2025-03-17-07:00"|^|"March 2025"|^|""|^|"Collection Services"|^|"540.44"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"540.44"|^|"Paid"
"SU-1015575"|^|"Net 60"|^|"United States of America"|^|"OH"|^|"GAHANNA"|^|"43230"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-505447"|^|"2025-07-09-07:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"Accounting Services"|^|"1110 Student Accounts"|^|"Reliant Capital Solutions, LLC"|^|""|^|""|^|"Approved"|^|"Erika Ramirez (434346)"|^|"2025-07-02T12:14:39.304-07:00"|^|"2025-07-01-07:00"|^|"SI-1140126"|^|"135937"|^|"2025-03-31-07:00"|^|"March 25"|^|""|^|"Collection Services"|^|"1234.25"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1234.25"|^|"Paid"
"SU-1015654"|^|"Net 60"|^|"United States of America"|^|"GA"|^|"ATLANTA"|^|"31126"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-510943"|^|"2025-07-31-07:00"|^|"1"|^|""|^|""|^|""|^|"Western Governors University"|^|"WGU"|^|"Unmanaged"|^|"Regions & Strategic Partnerships"|^|"1312 Strategic Partnerships"|^|"GEORGIA CHARTER SCHOOLS ASSOCIATION"|^|""|^|""|^|"Approved"|^|"Alexandra Gailey (169177)"|^|"2025-07-10T07:40:48.186-07:00"|^|"2025-07-01-07:00"|^|"SI-1141367"|^|"7354"|^|"2025-04-03-07:00"|^|"2025 GCSA Charter Insider Dues"|^|""|^|"Corporate Memberships, Subscriptions & Dues"|^|"1500"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"1500"|^|"Paid"
"SU-1002490"|^|""|^|"United States of America"|^|"FL"|^|"Lake Worth"|^|"33467"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-525532"|^|"2025-07-09-07:00"|^|"2"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"Administration"|^|"1101 People & Talent Administration"|^|"Intecrowd LLC"|^|""|^|""|^|"Approved"|^|"Bonnie Pattee (103047)"|^|"2025-07-02T14:27:18.847-07:00"|^|"2025-07-01-07:00"|^|"SI-1144708"|^|"25-26979"|^|"2025-04-30-07:00"|^|"Ryan Davis"|^|""|^|"Consulting Services"|^|"320"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"320"|^|"Paid"
"SU-1015581"|^|"Net 60"|^|"United States of America"|^|"AR"|^|"GREENWOOD"|^|"72936"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-528066"|^|"2025-07-09-07:00"|^|"1"|^|""|^|""|^|""|^|"WGU Corporation"|^|"WGUCORP"|^|"Unmanaged"|^|"Affiliates"|^|"1760 Craft (WGUC)"|^|"DENNIS WILLIAMSON II"|^|""|^|""|^|"Approved"|^|"Mallory Dwinal-Palisch (438004)"|^|"2025-07-02T09:02:58.962-07:00"|^|"2025-07-01-07:00"|^|"SI-1145390"|^|"INV-2025-002"|^|"2025-05-13-07:00"|^|"NAWDP conference lead development"|^|""|^|"Consulting Services"|^|"2500"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"2500"|^|"Paid"
"SU-1000584"|^|"Net 30"|^|"United States of America"|^|"TX"|^|"Dallas"|^|"75312-1080"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-536757"|^|"2025-07-17-07:00"|^|"6"|^|"Each"|^|"PO-100037506 - Line 37"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1601 Nurse Practitioner"|^|"Medline Industries, Inc."|^|"PO-100037506"|^|"2025-05-29T16:30:25.581-07:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-07-11T12:05:26.946-07:00"|^|"2025-07-01-07:00"|^|"SI-1147362"|^|"2373215710"|^|"2025-06-02-07:00"|^|"CAST TAPE: FIBERGLASS CASTING TAPE, BLUE, 3" X 4 YD."|^|""|^|"Nursing Materials"|^|"221.64"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"2539.94"|^|"Paid"
"SU-1000584"|^|"Net 30"|^|"United States of America"|^|"TX"|^|"Dallas"|^|"75312-1080"|^|""|^|""|^|"SUPPLIER_INVOICE_LINE-3-536758"|^|"2025-07-17-07:00"|^|"20"|^|"Each"|^|"PO-100037506 - Line 36"|^|""|^|"Western Governors University"|^|"WGU"|^|"Managed"|^|"Academics"|^|"1601 Nurse Practitioner"|^|"Medline Industries, Inc."|^|"PO-100037506"|^|"2025-05-29T16:30:25.581-07:00"|^|"Approved"|^|"Jamie Triplett (101956)"|^|"2025-07-11T12:05:26.946-07:00"|^|"2025-07-01-07:00"|^|"SI-1147362"|^|"2373215710"|^|"2025-06-02-07:00"|^|"CAST PADDING: SYNTHETIC UNDERCAST PADDING, 3" X 4 YD."|^|""|^|"Nursing Materials"|^|"296.2"|^|"0"|^|"0"|^|"0"|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|""|^|"2539.94"|^|"Paid"
