Company|^|Reference ID Company|^|Verification Status|^|Verification Number|^|Verification Date|^|Accounting Date for Operational Transaction|^|Cost Center|^|Supplier|^|Trans Detail|^|Line Description|^|Spend Category|^|Purchase Order|^|Trans Status|^|Line Split|^|Line Amount|^|Supplier Contract
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10008853"|^|"2023-10-24-07:00"|^|"2025-07-01-07:00"|^|"1315 Alumni Engagement"|^|""|^|"10/12/2023 THE LEXINGTON 5,183.71 USD"|^|"MN Social"|^|"Meeting Food & Beverage"|^|""|^|"Approved"|^|"0"|^|"5183.71"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10008853"|^|"2023-10-24-07:00"|^|"2025-07-01-07:00"|^|"1315 Alumni Engagement"|^|""|^|"10/04/2023 THE LEXINGTON 1,000.00 USD"|^|"MN Social deposit"|^|"Meeting Food & Beverage"|^|""|^|"Approved"|^|"0"|^|"1000"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10008853"|^|"2023-10-24-07:00"|^|"2025-07-01-07:00"|^|"1318 Regional Operations - Midwest"|^|"Wow, Inc"|^|"10/06/2023 VARSITY MARKETING 1,459.35 USD"|^|"Promotional Items"|^|"Promotional Items"|^|""|^|"Approved"|^|"0"|^|"1459.35"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10008853"|^|"2023-10-24-07:00"|^|"2025-07-01-07:00"|^|"1318 Regional Operations - Midwest"|^|""|^|"10/16/2023 LEAVENWORTH FMS 200.00 USD"|^|"Fort Leavenworth Career & Education Fair - Daniel Avegalio"|^|"Sponsorships"|^|""|^|"Approved"|^|"0"|^|"200"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10008853"|^|"2023-10-24-07:00"|^|"2025-07-01-07:00"|^|"1318 Regional Operations - Midwest"|^|""|^|"10/13/2023 LIFE STORAGE 3873 279.00 USD"|^|"MO Storage unit rental fee"|^|"Office Rent"|^|""|^|"Approved"|^|"0"|^|"279"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10008853"|^|"2023-10-24-07:00"|^|"2025-07-01-07:00"|^|"1318 Regional Operations - Midwest"|^|""|^|"10/06/2023 8000 MARYLAND GARAGE 25.00 USD"|^|"Parking fee - MO office"|^|"Office Parking Fees"|^|""|^|"Approved"|^|"0"|^|"25"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10008853"|^|"2023-10-24-07:00"|^|"2025-07-01-07:00"|^|"1318 Regional Operations - Midwest"|^|""|^|"10/18/2023 PAPA JOHNS #3615 131.78 USD"|^|"Sage Tour food"|^|"Food - Business"|^|""|^|"Approved"|^|"0"|^|"131.78"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10008853"|^|"2023-10-24-07:00"|^|"2025-07-01-07:00"|^|"1318 Regional Operations - Midwest"|^|""|^|"10/12/2023 SOUTHSIDE NEWS ST238 15.67 USD"|^|"MN travel food - Terrance Hopson"|^|"Food - Out-of-Town Travel"|^|""|^|"Approved"|^|"0"|^|"15.67"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10008853"|^|"2023-10-24-07:00"|^|"2025-07-01-07:00"|^|"1318 Regional Operations - Midwest"|^|""|^|"10/11/2023 CROWDER COLLEGE 50.00 USD"|^|"Crowder College Transfer Fair - Christy Seawall (Buzz)"|^|"Sponsorships"|^|""|^|"Approved"|^|"0"|^|"50"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10013111"|^|"2025-06-13-07:00"|^|"2025-07-01-07:00"|^|"1426 Academic Programs - Leavitt School of Health"|^|"WGU Procurement Only"|^|"05/14/2025 MARITZ AT&L*EXS 579.00 USD"|^|"Leavitt School of Health is exhibiting at American Association of Nurse Practitioners (AANP) National Conference. This request is for all conference marketing related expenses including the exhibitor booth space, exhibitor services such as electricity and furniture rental, shipping, SWAG, and other related costs."|^|"Sponsorships"|^|"PO-100032903"|^|"Approved"|^|"0"|^|"579"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10013119"|^|"2025-06-16-07:00"|^|"2025-07-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"06/13/2025 THE NATIONAL ASSOCIA (750.00) USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"-750"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10013119"|^|"2025-06-16-07:00"|^|"2025-07-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"06/12/2025 NATIONAL GUARD ASSOC 1,500.00 USD"|^|""|^|"Sponsorships"|^|""|^|"Approved"|^|"0"|^|"1500"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10013119"|^|"2025-06-16-07:00"|^|"2025-07-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"06/12/2025 NATIONAL GUARD ASSOC 5,000.00 USD"|^|""|^|"Sponsorships"|^|""|^|"Approved"|^|"0"|^|"5000"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10013120"|^|"2025-06-16-07:00"|^|"2025-07-01-07:00"|^|"1312 Strategic Partnerships"|^|"Wow, Inc"|^|"06/10/2025 VARSITY MARKETING 2,026.69 USD"|^|""|^|"Promotional Items"|^|""|^|"Approved"|^|"0"|^|"2026.69"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10013149"|^|"2025-06-19-07:00"|^|"2025-07-01-07:00"|^|"1312 Strategic Partnerships"|^|""|^|"06/13/2025 AFCEA INTL 1,500.00 USD"|^|""|^|"Sponsorships"|^|""|^|"Approved"|^|"0"|^|"1500"|^|""
